x;y
1.990702e+002;4.394192e-002
2.000344e+002;4.396188e-002
2.009987e+002;4.396965e-002
2.019629e+002;4.397504e-002
2.029271e+002;4.398548e-002
2.038914e+002;4.400437e-002
2.048556e+002;4.403127e-002
2.058198e+002;4.406417e-002
2.067841e+002;4.410173e-002
2.077483e+002;4.414472e-002
2.087125e+002;4.419548e-002
2.096768e+002;4.425576e-002
2.106410e+002;4.432437e-002
2.116052e+002;4.439661e-002
2.125695e+002;4.446585e-002
2.135337e+002;4.452685e-002
2.144979e+002;4.457801e-002
2.154622e+002;4.462168e-002
2.164264e+002;4.466172e-002
2.173906e+002;4.470098e-002
2.183549e+002;4.473952e-002
2.193191e+002;4.477513e-002
2.202833e+002;4.480461e-002
2.212476e+002;4.482527e-002
2.222118e+002;4.483575e-002
2.231760e+002;4.483636e-002
2.241403e+002;4.482928e-002
2.251045e+002;4.481830e-002
2.260687e+002;4.480826e-002
2.270330e+002;4.480425e-002
2.279972e+002;4.481088e-002
2.289614e+002;4.483177e-002
2.299257e+002;4.486873e-002
2.308899e+002;4.492106e-002
2.318541e+002;4.498450e-002
2.328184e+002;4.505196e-002
2.337826e+002;4.511530e-002
2.347468e+002;4.516863e-002
2.357111e+002;4.521054e-002
2.366753e+002;4.524448e-002
2.376395e+002;4.527580e-002
2.386038e+002;4.530865e-002
2.395680e+002;4.534351e-002
2.405322e+002;4.537760e-002
2.414965e+002;4.540703e-002
2.424607e+002;4.542955e-002
2.434249e+002;4.544545e-002
2.443892e+002;4.545719e-002
2.453534e+002;4.546797e-002
2.463176e+002;4.548078e-002
2.472819e+002;4.549785e-002
2.482461e+002;4.552073e-002
2.492103e+002;4.554996e-002
2.501746e+002;4.558501e-002
2.511388e+002;4.562409e-002
2.521030e+002;4.566489e-002
2.530673e+002;4.570507e-002
2.540315e+002;4.574256e-002
2.549957e+002;4.577566e-002
2.559600e+002;4.580302e-002
2.569242e+002;4.582410e-002
2.578884e+002;4.583941e-002
2.588527e+002;4.585040e-002
2.598169e+002;4.585865e-002
2.607811e+002;4.586498e-002
2.617454e+002;4.586969e-002
2.627096e+002;4.587292e-002
2.636738e+002;4.587561e-002
2.646381e+002;4.587895e-002
2.656023e+002;4.588403e-002
2.665665e+002;4.589155e-002
2.675308e+002;4.590243e-002
2.684950e+002;4.591835e-002
2.694592e+002;4.594114e-002
2.704235e+002;4.597100e-002
2.713877e+002;4.600473e-002
2.723519e+002;4.603548e-002
2.733162e+002;4.605484e-002
2.742804e+002;4.605617e-002
2.752446e+002;4.603744e-002
2.762089e+002;4.600216e-002
2.771731e+002;4.595847e-002
2.781373e+002;4.591651e-002
2.791016e+002;4.588563e-002
2.800658e+002;4.587194e-002
2.810300e+002;4.587701e-002
2.819943e+002;4.589799e-002
2.829585e+002;4.592915e-002
2.839227e+002;4.596401e-002
2.848870e+002;4.599694e-002
2.858512e+002;4.602404e-002
2.868154e+002;4.604320e-002
2.877797e+002;4.605404e-002
2.887439e+002;4.605815e-002
2.897081e+002;4.605858e-002
2.906724e+002;4.605903e-002
2.916366e+002;4.606235e-002
2.926008e+002;4.606976e-002
2.935651e+002;4.608072e-002
2.945293e+002;4.609377e-002
2.954935e+002;4.610719e-002
2.964578e+002;4.611950e-002
2.974220e+002;4.612961e-002
2.983862e+002;4.613754e-002
2.993505e+002;4.614516e-002
3.003147e+002;4.615626e-002
3.012789e+002;4.617527e-002
3.022432e+002;4.620457e-002
3.032074e+002;4.624242e-002
3.041716e+002;4.628252e-002
3.051359e+002;4.631605e-002
3.061001e+002;4.633536e-002
3.070643e+002;4.633751e-002
3.080286e+002;4.632583e-002
3.089928e+002;4.630858e-002
3.099570e+002;4.629572e-002
3.109213e+002;4.629467e-002
3.118855e+002;4.630794e-002
3.128497e+002;4.633291e-002
3.138140e+002;4.636382e-002
3.147782e+002;4.639409e-002
3.157424e+002;4.641801e-002
3.167067e+002;4.643140e-002
