x;y
3.991926e+002;0.000000e+000
4.001569e+002;3.398400e-001
4.011211e+002;3.407183e-001
4.020853e+002;3.402877e-001
4.030496e+002;3.385889e-001
4.040138e+002;3.433772e-001
4.049780e+002;3.477490e-001
4.059423e+002;3.514600e-001
4.069065e+002;3.527913e-001
4.078707e+002;3.536227e-001
4.088350e+002;3.604568e-001
4.097992e+002;3.670042e-001
4.107634e+002;3.705716e-001
4.117277e+002;3.749690e-001
4.126919e+002;3.750869e-001
4.136561e+002;3.733096e-001
4.146204e+002;3.764333e-001
4.155846e+002;3.815065e-001
4.165488e+002;3.844230e-001
4.175131e+002;3.877682e-001
4.184773e+002;3.948651e-001
4.194415e+002;3.971367e-001
4.204058e+002;3.917860e-001
4.213700e+002;3.967558e-001
4.223342e+002;4.036147e-001
4.232985e+002;4.057904e-001
4.242627e+002;4.071361e-001
4.252269e+002;4.116178e-001
4.261912e+002;4.138631e-001
4.271554e+002;4.156990e-001
4.281196e+002;4.200169e-001
4.290839e+002;4.273691e-001
4.300481e+002;4.304724e-001
4.310123e+002;4.282070e-001
4.319766e+002;4.284980e-001
4.329408e+002;4.310082e-001
4.339050e+002;4.333920e-001
4.348693e+002;4.355771e-001
4.358335e+002;4.411857e-001
4.367977e+002;4.464088e-001
4.377620e+002;4.465987e-001
4.387262e+002;4.464123e-001
4.396904e+002;4.499050e-001
4.406547e+002;4.513495e-001
4.416189e+002;4.517258e-001
4.425831e+002;4.481459e-001
4.435474e+002;4.516422e-001
4.445116e+002;4.601801e-001
4.454758e+002;4.650743e-001
4.464401e+002;4.650537e-001
4.474043e+002;4.614061e-001
4.483685e+002;4.663856e-001
4.493328e+002;4.716014e-001
4.502970e+002;4.722802e-001
4.512612e+002;4.719242e-001
4.522255e+002;4.748061e-001
4.531897e+002;4.778609e-001
4.541539e+002;4.775321e-001
4.551182e+002;4.758091e-001
4.560824e+002;4.754258e-001
4.570466e+002;4.780694e-001
4.580109e+002;4.814720e-001
4.589751e+002;4.816484e-001
4.599393e+002;4.833787e-001
4.609036e+002;4.847672e-001
4.618678e+002;4.813090e-001
4.628320e+002;4.792054e-001
4.637963e+002;4.791063e-001
4.647605e+002;4.755957e-001
4.657247e+002;4.731017e-001
4.666890e+002;4.768975e-001
4.676532e+002;4.773686e-001
4.686174e+002;4.767510e-001
4.695817e+002;4.776091e-001
4.705459e+002;4.773297e-001
4.715101e+002;4.778036e-001
4.724744e+002;4.780270e-001
4.734386e+002;4.785876e-001
4.744028e+002;4.798586e-001
4.753671e+002;4.789364e-001
4.763313e+002;4.791948e-001
4.772955e+002;4.794218e-001
4.782598e+002;4.758903e-001
4.792240e+002;4.749795e-001
4.801882e+002;4.794532e-001
4.811525e+002;4.813139e-001
4.821167e+002;4.824205e-001
4.830810e+002;4.804812e-001
4.840452e+002;4.817580e-001
4.850094e+002;4.863652e-001
4.859737e+002;4.885553e-001
4.869379e+002;4.898610e-001
4.879021e+002;4.911380e-001
4.888664e+002;4.923315e-001
4.898306e+002;4.948110e-001
4.907948e+002;4.983673e-001
4.917591e+002;5.060462e-001
4.927233e+002;5.070419e-001
4.936875e+002;5.032907e-001
4.946518e+002;5.054951e-001
4.956160e+002;5.092501e-001
4.965802e+002;5.137975e-001
4.975445e+002;5.163631e-001
4.985087e+002;5.168236e-001
4.994729e+002;5.187861e-001
5.004372e+002;5.218128e-001
5.014014e+002;5.253801e-001
5.023656e+002;5.268660e-001
5.033299e+002;5.283951e-001
5.042941e+002;5.309457e-001
5.052583e+002;5.333014e-001
5.062226e+002;5.354513e-001
5.071868e+002;5.370548e-001
5.081510e+002;5.384419e-001
5.091153e+002;5.388704e-001
5.100795e+002;5.392680e-001
5.110437e+002;5.436546e-001
5.120079e+002;5.458552e-001
5.129722e+002;5.470531e-001
5.139364e+002;5.479144e-001
5.149006e+002;5.487579e-001
5.158649e+002;5.510103e-001
5.168291e+002;5.524489e-001
5.177933e+002;5.534886e-001
5.187576e+002;5.561925e-001
5.197218e+002;5.572925e-001
5.206860e+002;5.573658e-001
5.216503e+002;5.585614e-001
5.226145e+002;5.589481e-001
5.235787e+002;5.603633e-001
5.245430e+002;5.626765e-001
5.255072e+002;5.646966e-001
5.264714e+002;5.652863e-001
5.274357e+002;5.641699e-001
5.283999e+002;5.654597e-001
5.293641e+002;5.697294e-001
5.303284e+002;5.726967e-001
5.312926e+002;5.746897e-001
5.322568e+002;5.773361e-001
5.332211e+002;5.807382e-001
5.341853e+002;5.838681e-001
5.351495e+002;5.872693e-001
5.361138e+002;5.910814e-001
5.370780e+002;5.948344e-001
5.380422e+002;5.986255e-001
5.390065e+002;6.030893e-001
5.399707e+002;6.084649e-001
5.409349e+002;6.139059e-001
5.418992e+002;6.191760e-001
5.428634e+002;6.245664e-001
5.438276e+002;6.304023e-001
5.447919e+002;6.362893e-001
5.457561e+002;6.413646e-001
5.467203e+002;6.472601e-001
5.476846e+002;6.540658e-001
5.486488e+002;6.614977e-001
5.496130e+002;6.695070e-001
5.505773e+002;6.768599e-001
5.515415e+002;6.840791e-001
5.525057e+002;6.916178e-001
5.534700e+002;6.997126e-001
5.544342e+002;7.073159e-001
5.553984e+002;7.139372e-001
5.563627e+002;7.204615e-001
5.573269e+002;7.284859e-001
5.582911e+002;7.366669e-001
5.592554e+002;7.440988e-001
5.602196e+002;7.510096e-001
5.611838e+002;7.585702e-001
5.621481e+002;7.644517e-001
