x;y
9.900000e+001;9.221000e+003
1.001085e+002;9.753313e+003
1.012169e+002;1.002300e+004
1.023254e+002;1.005686e+004
1.034338e+002;1.037663e+004
1.045423e+002;1.100039e+004
1.056507e+002;1.113109e+004
1.067592e+002;1.130873e+004
1.078676e+002;1.192669e+004
1.089761e+002;1.290916e+004
1.100845e+002;1.316778e+004
1.111930e+002;1.448758e+004
1.123015e+002;1.562257e+004
1.134099e+002;1.521118e+004
1.145184e+002;1.482529e+004
1.156268e+002;1.460104e+004
1.167353e+002;1.436852e+004
1.178437e+002;1.455077e+004
1.189522e+002;1.490425e+004
1.200606e+002;1.554474e+004
1.211691e+002;1.655624e+004
1.222775e+002;1.765822e+004
1.233860e+002;1.848240e+004
1.244945e+002;1.981630e+004
1.256029e+002;2.204365e+004
1.267114e+002;2.313726e+004
1.278198e+002;2.515090e+004
1.289283e+002;2.911777e+004
1.300367e+002;3.352252e+004
1.311452e+002;3.550354e+004
1.322536e+002;4.005764e+004
1.333621e+002;4.720450e+004
1.344706e+002;5.180466e+004
1.355790e+002;5.782312e+004
1.366875e+002;7.187866e+004
1.377959e+002;9.355952e+004
1.389044e+002;1.034629e+005
1.400128e+002;1.245160e+005
1.411213e+002;1.599042e+005
1.422297e+002;1.887540e+005
1.433382e+002;2.003728e+005
1.444467e+002;2.055377e+005
1.455551e+002;1.938269e+005
1.466636e+002;1.646359e+005
1.477720e+002;1.480763e+005
1.488805e+002;1.289658e+005
1.499889e+002;1.008957e+005
1.510974e+002;8.029364e+004
1.522058e+002;7.277448e+004
1.533143e+002;6.193970e+004
1.544227e+002;5.045308e+004
1.555312e+002;4.420591e+004
1.566396e+002;3.997987e+004
1.577481e+002;3.424692e+004
1.588566e+002;2.922639e+004
1.599650e+002;2.717254e+004
1.610735e+002;2.504593e+004
1.621819e+002;2.251145e+004
1.632904e+002;2.059701e+004
1.643988e+002;1.981700e+004
1.655073e+002;1.845908e+004
1.666157e+002;1.763724e+004
1.677242e+002;1.757622e+004
1.688327e+002;1.760962e+004
1.699411e+002;1.740474e+004
1.710496e+002;1.689838e+004
1.721580e+002;1.600497e+004
1.732665e+002;1.543767e+004
1.743749e+002;1.447120e+004
1.754834e+002;1.392530e+004
1.765918e+002;1.360281e+004
1.777003e+002;1.346876e+004
1.788087e+002;1.389495e+004
1.799172e+002;1.300201e+004
1.810257e+002;1.258502e+004
1.821341e+002;1.198944e+004
1.832426e+002;1.122141e+004
1.843510e+002;1.080070e+004
1.854595e+002;1.060017e+004
1.865679e+002;1.046415e+004
1.876764e+002;1.061743e+004
1.887848e+002;1.116279e+004
1.898933e+002;1.105573e+004
1.910018e+002;1.138655e+004
1.921102e+002;1.232005e+004
1.932187e+002;1.303551e+004
1.943271e+002;1.343139e+004
1.954356e+002;1.415923e+004
1.965440e+002;1.419604e+004
1.976525e+002;1.399912e+004
1.987609e+002;1.344417e+004
1.998694e+002;1.222687e+004
2.009778e+002;1.085186e+004
2.020863e+002;1.009522e+004
2.031947e+002;9.894473e+003
2.043032e+002;9.640383e+003
2.054117e+002;9.188288e+003
2.065201e+002;8.966307e+003
2.076286e+002;8.936524e+003
2.087370e+002;8.782522e+003
2.098455e+002;8.718021e+003
2.109539e+002;8.784198e+003
2.120624e+002;8.769845e+003
2.131709e+002;8.653735e+003
2.142793e+002;8.585999e+003
2.153878e+002;8.631245e+003
2.164962e+002;8.571940e+003
2.176047e+002;8.203805e+003
2.187131e+002;8.412539e+003
2.198216e+002;8.259879e+003
2.209300e+002;8.146544e+003
2.220385e+002;8.220776e+003
2.231469e+002;8.180288e+003
2.242554e+002;8.232518e+003
2.253638e+002;8.178559e+003
2.264723e+002;8.155313e+003
2.275808e+002;8.239316e+003
2.286892e+002;8.219054e+003
2.297977e+002;8.266971e+003
2.309061e+002;8.487841e+003
2.320146e+002;8.538445e+003
