x;y
3.991992e+002;2.779141e-001
4.001635e+002;2.680916e-001
4.011277e+002;2.605104e-001
4.020920e+002;2.605351e-001
4.030562e+002;2.616615e-001
4.040205e+002;2.616833e-001
4.049847e+002;2.605605e-001
4.059490e+002;2.603245e-001
4.069132e+002;2.564327e-001
4.078775e+002;2.552276e-001
4.088417e+002;2.523072e-001
4.098060e+002;2.481514e-001
4.107702e+002;2.448076e-001
4.117345e+002;2.411973e-001
4.126987e+002;2.394187e-001
4.136630e+002;2.374639e-001
4.146272e+002;2.329893e-001
4.155915e+002;2.327427e-001
4.165557e+002;2.326868e-001
4.175200e+002;2.337153e-001
4.184842e+002;2.389105e-001
4.194485e+002;2.393795e-001
4.204127e+002;2.335052e-001
4.213770e+002;2.314013e-001
4.223412e+002;2.360751e-001
4.233055e+002;2.401227e-001
4.242697e+002;2.387915e-001
4.252339e+002;2.363286e-001
4.261982e+002;2.408542e-001
4.271624e+002;2.454361e-001
4.281267e+002;2.442633e-001
4.290909e+002;2.456747e-001
4.300552e+002;2.493883e-001
4.310194e+002;2.504247e-001
4.319837e+002;2.514097e-001
4.329479e+002;2.520795e-001
4.339122e+002;2.538159e-001
4.348764e+002;2.559901e-001
4.358407e+002;2.571632e-001
4.368049e+002;2.586477e-001
4.377692e+002;2.607799e-001
4.387334e+002;2.626181e-001
4.396977e+002;2.653514e-001
4.406619e+002;2.691227e-001
4.416262e+002;2.718672e-001
4.425904e+002;2.758104e-001
4.435547e+002;2.824807e-001
4.445190e+002;2.858374e-001
4.454832e+002;2.882124e-001
4.464474e+002;2.911152e-001
4.474117e+002;2.929406e-001
4.483759e+002;2.922098e-001
4.493402e+002;2.891840e-001
4.503044e+002;2.861406e-001
4.512687e+002;2.831944e-001
4.522329e+002;2.812424e-001
4.531972e+002;2.789786e-001
4.541614e+002;2.791852e-001
4.551257e+002;2.803146e-001
4.560899e+002;2.799790e-001
4.570542e+002;2.790568e-001
4.580184e+002;2.740782e-001
4.589827e+002;2.698757e-001
4.599469e+002;2.670692e-001
4.609112e+002;2.633618e-001
4.618754e+002;2.600737e-001
4.628397e+002;2.566465e-001
4.638039e+002;2.512852e-001
4.647682e+002;2.469360e-001
4.657324e+002;2.442134e-001
4.666967e+002;2.425650e-001
4.676609e+002;2.404099e-001
4.686252e+002;2.360034e-001
4.695894e+002;2.294956e-001
4.705537e+002;2.257103e-001
4.715179e+002;2.232917e-001
4.724822e+002;2.186747e-001
4.734464e+002;2.150618e-001
4.744107e+002;2.112605e-001
4.753749e+002;2.073995e-001
4.763392e+002;2.058663e-001
4.773034e+002;2.034479e-001
4.782677e+002;1.998353e-001
4.792319e+002;1.962597e-001
4.801962e+002;1.925475e-001
4.811604e+002;1.889298e-001
4.821247e+002;1.874592e-001
4.830889e+002;1.865448e-001
4.840532e+002;1.854911e-001
4.850174e+002;1.840304e-001
4.859817e+002;1.831811e-001
4.869459e+002;1.814151e-001
4.879102e+002;1.797026e-001
4.888744e+002;1.798270e-001
4.898387e+002;1.800101e-001
4.908029e+002;1.796035e-001
4.917672e+002;1.791794e-001
4.927314e+002;1.780772e-001
4.936956e+002;1.770800e-001
4.946599e+002;1.752367e-001
4.956241e+002;1.734443e-001
4.965884e+002;1.719562e-001
4.975526e+002;1.703100e-001
4.985169e+002;1.689942e-001
4.994811e+002;1.679452e-001
5.004454e+002;1.660256e-001
5.014096e+002;1.630100e-001
5.023739e+002;1.593987e-001
