x;y
3.991926e+002;0.000000e+000
4.001569e+002;7.813527e-002
4.011211e+002;7.877276e-002
4.020853e+002;7.942002e-002
4.030496e+002;8.034321e-002
4.040138e+002;7.925209e-002
4.049780e+002;7.748232e-002
4.059423e+002;7.688729e-002
4.069065e+002;7.819351e-002
4.078707e+002;7.835206e-002
4.088350e+002;7.706243e-002
4.097992e+002;7.708178e-002
4.107634e+002;7.650805e-002
4.117277e+002;7.504794e-002
4.126919e+002;7.667381e-002
4.136561e+002;7.827400e-002
4.146204e+002;7.912191e-002
4.155846e+002;7.895692e-002
4.165488e+002;7.771756e-002
4.175131e+002;7.695268e-002
4.184773e+002;7.845993e-002
4.194415e+002;7.733288e-002
4.204058e+002;7.895660e-002
4.213700e+002;7.973728e-002
4.223342e+002;7.805706e-002
4.232985e+002;7.774898e-002
4.242627e+002;8.001184e-002
4.252269e+002;8.098247e-002
4.261912e+002;7.952188e-002
4.271554e+002;7.803909e-002
4.281196e+002;7.733121e-002
4.290839e+002;7.889608e-002
4.300481e+002;8.064666e-002
4.310123e+002;7.974497e-002
4.319766e+002;7.930057e-002
4.329408e+002;7.911782e-002
4.339050e+002;7.739472e-002
4.348693e+002;7.643147e-002
4.358335e+002;7.638351e-002
4.367977e+002;7.689212e-002
4.377620e+002;7.778449e-002
4.387262e+002;7.865206e-002
4.396904e+002;7.862967e-002
4.406547e+002;7.772830e-002
4.416189e+002;7.702195e-002
4.425831e+002;7.909798e-002
4.435474e+002;8.002048e-002
4.445116e+002;7.894246e-002
4.454758e+002;7.860401e-002
4.464401e+002;7.865508e-002
4.474043e+002;7.844561e-002
4.483685e+002;7.700719e-002
4.493328e+002;7.587367e-002
4.502970e+002;7.593267e-002
4.512612e+002;7.602297e-002
4.522255e+002;7.595382e-002
4.531897e+002;7.523734e-002
4.541539e+002;7.452673e-002
4.551182e+002;7.395149e-002
4.560824e+002;7.432923e-002
4.570466e+002;7.513448e-002
4.580109e+002;7.578947e-002
4.589751e+002;7.505397e-002
4.599393e+002;7.484969e-002
4.609036e+002;7.586160e-002
4.618678e+002;7.543751e-002
4.628320e+002;7.401451e-002
4.637963e+002;7.328334e-002
4.647605e+002;7.327816e-002
4.657247e+002;7.273067e-002
4.666890e+002;7.243351e-002
4.676532e+002;7.293873e-002
4.686174e+002;7.328216e-002
4.695817e+002;7.298592e-002
4.705459e+002;7.275342e-002
4.715101e+002;7.278849e-002
4.724744e+002;7.277568e-002
4.734386e+002;7.262561e-002
4.744028e+002;7.232046e-002
4.753671e+002;7.236689e-002
4.763313e+002;7.209646e-002
4.772955e+002;7.146099e-002
4.782598e+002;7.190076e-002
4.792240e+002;7.250465e-002
4.801882e+002;7.228802e-002
4.811525e+002;7.192910e-002
4.821167e+002;7.206028e-002
4.830810e+002;7.114769e-002
4.840452e+002;7.106877e-002
4.850094e+002;7.284358e-002
4.859737e+002;7.312082e-002
4.869379e+002;7.265992e-002
4.879021e+002;7.222471e-002
4.888664e+002;7.157495e-002
4.898306e+002;7.136823e-002
4.907948e+002;7.157847e-002
4.917591e+002;7.132488e-002
4.927233e+002;7.188500e-002
4.936875e+002;7.245606e-002
4.946518e+002;7.231671e-002
4.956160e+002;7.240427e-002
4.965802e+002;7.208742e-002
4.975445e+002;7.174025e-002
4.985087e+002;7.230062e-002
4.994729e+002;7.228321e-002
5.004372e+002;7.200740e-002
5.014014e+002;7.238743e-002
5.023656e+002;7.234215e-002
5.033299e+002;7.201901e-002
5.042941e+002;7.219661e-002
5.052583e+002;7.193407e-002
5.062226e+002;7.186643e-002
5.071868e+002;7.210088e-002
5.081510e+002;7.195961e-002
5.091153e+002;7.161167e-002
5.100795e+002;7.143744e-002
5.110437e+002;7.167795e-002
5.120079e+002;7.190099e-002
5.129722e+002;7.201424e-002
5.139364e+002;7.208961e-002
5.149006e+002;7.219935e-002
5.158649e+002;7.222486e-002
5.168291e+002;7.223359e-002
5.177933e+002;7.214544e-002
5.187576e+002;7.212728e-002
5.197218e+002;7.236242e-002
5.206860e+002;7.246126e-002
5.216503e+002;7.264046e-002
5.226145e+002;7.275581e-002
5.235787e+002;7.266799e-002
5.245430e+002;7.252371e-002
5.255072e+002;7.248628e-002
5.264714e+002;7.253452e-002
5.274357e+002;7.249095e-002
5.283999e+002;7.237080e-002
5.293641e+002;7.228415e-002
5.303284e+002;7.200877e-002
5.312926e+002;7.180841e-002
5.322568e+002;7.174192e-002
5.332211e+002;7.178692e-002
5.341853e+002;7.179974e-002
5.351495e+002;7.169902e-002
5.361138e+002;7.156803e-002
5.370780e+002;7.148451e-002
5.380422e+002;7.134262e-002
5.390065e+002;7.126523e-002
5.399707e+002;7.121979e-002
5.409349e+002;7.110947e-002
5.418992e+002;7.125687e-002
5.428634e+002;7.186756e-002
5.438276e+002;7.242309e-002
5.447919e+002;7.276475e-002
5.457561e+002;7.282215e-002
5.467203e+002;7.266121e-002
5.476846e+002;7.235600e-002
5.486488e+002;7.181283e-002
5.496130e+002;7.098647e-002
5.505773e+002;7.005265e-002
5.515415e+002;6.933659e-002
5.525057e+002;6.897712e-002
