x;y
3.996307e+002;2.266510e-003
4.005950e+002;2.406713e-003
4.015592e+002;2.537568e-003
4.025234e+002;2.634669e-003
4.034877e+002;2.678374e-003
4.044519e+002;2.659158e-003
4.054161e+002;2.580064e-003
4.063804e+002;2.454874e-003
4.073446e+002;2.303015e-003
4.083088e+002;2.143599e-003
4.092731e+002;1.991204e-003
4.102373e+002;1.854428e-003
4.112015e+002;1.736767e-003
4.121658e+002;1.638487e-003
4.131300e+002;1.558431e-003
4.140942e+002;1.495454e-003
4.150585e+002;1.449394e-003
4.160227e+002;1.421374e-003
4.169869e+002;1.413095e-003
4.179512e+002;1.425267e-003
4.189154e+002;1.456196e-003
4.198796e+002;1.501700e-003
4.208439e+002;1.556830e-003
4.218081e+002;1.618620e-003
4.227723e+002;1.688406e-003
4.237366e+002;1.772637e-003
4.247008e+002;1.882096e-003
4.256650e+002;2.030217e-003
4.266293e+002;2.230993e-003
4.275935e+002;2.496067e-003
4.285577e+002;2.830420e-003
4.295220e+002;3.227210e-003
4.304862e+002;3.663674e-003
4.314504e+002;4.100467e-003
4.324147e+002;4.486313e-003
4.333789e+002;4.767906e-003
4.343431e+002;4.902637e-003
4.353074e+002;4.869652e-003
4.362716e+002;4.675212e-003
4.372358e+002;4.350375e-003
4.382001e+002;3.942196e-003
4.391643e+002;3.501878e-003
4.401285e+002;3.073877e-003
4.410928e+002;2.688918e-003
4.420570e+002;2.362192e-003
4.430212e+002;2.096006e-003
4.439855e+002;1.884864e-003
4.449497e+002;1.720250e-003
4.459139e+002;1.593556e-003
4.468782e+002;1.497168e-003
4.478424e+002;1.424629e-003
4.488066e+002;1.370574e-003
4.497709e+002;1.330604e-003
4.507351e+002;1.300950e-003
4.516993e+002;1.278047e-003
4.526636e+002;1.258420e-003
4.536278e+002;1.239282e-003
4.545920e+002;1.219579e-003
4.555563e+002;1.200567e-003
4.565205e+002;1.185207e-003
4.574847e+002;1.176468e-003
4.584490e+002;1.175593e-003
4.594132e+002;1.181602e-003
4.603774e+002;1.192139e-003
4.613417e+002;1.204531e-003
4.623059e+002;1.216172e-003
4.632701e+002;1.224565e-003
4.642344e+002;1.227658e-003
4.651986e+002;1.224294e-003
4.661628e+002;1.214355e-003
4.671271e+002;1.198558e-003
4.680913e+002;1.178032e-003
4.690555e+002;1.153902e-003
4.700198e+002;1.127201e-003
4.709840e+002;1.099300e-003
4.719482e+002;1.072380e-003
4.729125e+002;1.049194e-003
4.738767e+002;1.031974e-003
4.748409e+002;1.021322e-003
4.758052e+002;1.016119e-003
4.767694e+002;1.014420e-003
4.777336e+002;1.014605e-003
4.786979e+002;1.016130e-003
4.796621e+002;1.019474e-003
4.806263e+002;1.025191e-003
4.815906e+002;1.032732e-003
4.825548e+002;1.040098e-003
4.835190e+002;1.044711e-003
4.844833e+002;1.044699e-003
4.854475e+002;1.039589e-003
4.864117e+002;1.030138e-003
4.873760e+002;1.017790e-003
4.883402e+002;1.004453e-003
4.893044e+002;9.927037e-004
4.902687e+002;9.858049e-004
4.912329e+002;9.869332e-004
4.921971e+002;9.979913e-004
4.931614e+002;1.019291e-003
4.941256e+002;1.050791e-003
4.950898e+002;1.094126e-003
4.960541e+002;1.154355e-003
4.970183e+002;1.240792e-003
4.979825e+002;1.366313e-003
4.989468e+002;1.544516e-003
4.999110e+002;1.784519e-003
5.008752e+002;2.084524e-003
5.018395e+002;2.426751e-003
5.028037e+002;2.776651e-003
5.037679e+002;3.088039e-003
5.047322e+002;3.313779e-003
5.056964e+002;3.419213e-003
5.066606e+002;3.393701e-003
5.076249e+002;3.255534e-003
5.085891e+002;3.047772e-003
5.095533e+002;2.826094e-003
5.105176e+002;2.642379e-003
5.114818e+002;2.529006e-003
5.124460e+002;2.489306e-003
5.134103e+002;2.498990e-003
5.143745e+002;2.518386e-003
5.153387e+002;2.508804e-003
5.163030e+002;2.445546e-003
5.172672e+002;2.323520e-003
5.182314e+002;2.155068e-003
5.191957e+002;1.962492e-003
5.201599e+002;1.769340e-003
5.211241e+002;1.593927e-003
5.220884e+002;1.446588e-003
5.230526e+002;1.330064e-003
5.240168e+002;1.241670e-003
5.249811e+002;1.176049e-003
5.259453e+002;1.127525e-003
5.269095e+002;1.091320e-003
5.278738e+002;1.063670e-003
5.288380e+002;1.041592e-003
5.298022e+002;1.022824e-003
5.307665e+002;1.005913e-003
5.317307e+002;9.902688e-004
5.326949e+002;9.761791e-004
5.336592e+002;9.645682e-004
5.346234e+002;9.564337e-004
5.355876e+002;9.522024e-004
5.365519e+002;9.512348e-004
5.375161e+002;9.515921e-004
5.384803e+002;9.503872e-004
5.394446e+002;9.449868e-004
5.404088e+002;9.345395e-004
5.413730e+002;9.207247e-004
5.423373e+002;9.070146e-004
5.433015e+002;8.967918e-004
