x;y
1.990703e+002;1.677508e-002
2.000345e+002;1.678118e-002
2.009988e+002;1.679633e-002
2.019630e+002;1.681054e-002
2.029272e+002;1.682048e-002
2.038915e+002;1.683314e-002
2.048557e+002;1.688333e-002
2.058199e+002;1.696127e-002
2.067842e+002;1.699935e-002
2.077484e+002;1.697765e-002
2.087126e+002;1.693860e-002
2.096769e+002;1.690286e-002
2.106411e+002;1.686868e-002
2.116053e+002;1.685580e-002
2.125696e+002;1.687681e-002
2.135338e+002;1.691805e-002
2.144980e+002;1.697407e-002
2.154623e+002;1.702735e-002
2.164265e+002;1.702723e-002
2.173907e+002;1.696924e-002
2.183550e+002;1.692209e-002
2.193192e+002;1.692703e-002
2.202834e+002;1.695665e-002
2.212477e+002;1.698484e-002
2.222119e+002;1.701343e-002
2.231761e+002;1.702822e-002
2.241404e+002;1.700425e-002
2.251046e+002;1.696326e-002
2.260688e+002;1.695818e-002
2.270331e+002;1.699047e-002
2.279973e+002;1.701437e-002
2.289615e+002;1.700951e-002
2.299258e+002;1.698374e-002
2.308900e+002;1.695302e-002
2.318542e+002;1.694692e-002
2.328185e+002;1.697829e-002
2.337827e+002;1.702760e-002
2.347469e+002;1.706997e-002
2.357112e+002;1.707727e-002
2.366754e+002;1.703436e-002
2.376396e+002;1.697513e-002
2.386039e+002;1.694521e-002
2.395681e+002;1.694723e-002
2.405323e+002;1.695764e-002
2.414966e+002;1.695431e-002
2.424608e+002;1.693551e-002
2.434250e+002;1.693307e-002
2.443893e+002;1.696201e-002
2.453535e+002;1.698887e-002
2.463177e+002;1.699531e-002
2.472820e+002;1.699947e-002
2.482462e+002;1.700366e-002
2.492104e+002;1.699403e-002
2.501747e+002;1.697215e-002
2.511389e+002;1.694203e-002
2.521031e+002;1.689441e-002
2.530674e+002;1.683155e-002
2.540316e+002;1.679272e-002
2.549958e+002;1.681605e-002
2.559601e+002;1.687007e-002
2.569243e+002;1.688985e-002
2.578885e+002;1.687711e-002
2.588528e+002;1.686863e-002
2.598170e+002;1.685654e-002
2.607813e+002;1.683539e-002
2.617455e+002;1.683712e-002
2.627097e+002;1.686900e-002
2.636740e+002;1.689743e-002
2.646382e+002;1.689575e-002
2.656024e+002;1.687338e-002
2.665667e+002;1.686425e-002
2.675309e+002;1.689137e-002
2.684951e+002;1.693630e-002
2.694594e+002;1.695317e-002
2.704236e+002;1.692574e-002
2.713878e+002;1.688024e-002
2.723521e+002;1.684587e-002
2.733163e+002;1.684149e-002
2.742805e+002;1.686353e-002
2.752448e+002;1.688304e-002
2.762090e+002;1.689202e-002
2.771732e+002;1.690297e-002
2.781375e+002;1.689598e-002
2.791017e+002;1.684835e-002
2.800659e+002;1.680559e-002
2.810302e+002;1.682462e-002
2.819944e+002;1.686414e-002
2.829586e+002;1.684572e-002
2.839229e+002;1.678369e-002
2.848871e+002;1.673625e-002
2.858513e+002;1.670974e-002
2.868156e+002;1.669916e-002
2.877798e+002;1.671038e-002
2.887440e+002;1.672139e-002
2.897083e+002;1.672105e-002
2.906725e+002;1.672348e-002
2.916367e+002;1.670630e-002
2.926010e+002;1.665776e-002
2.935652e+002;1.664313e-002
2.945294e+002;1.669966e-002
2.954937e+002;1.675811e-002
2.964579e+002;1.675263e-002
2.974221e+002;1.671076e-002
2.983864e+002;1.667666e-002
2.993506e+002;1.663785e-002
