x;y
1.990703e+002;6.244091e-005
2.000345e+002;7.362568e-005
2.009988e+002;9.927002e-005
2.019630e+002;1.209991e-004
2.029272e+002;1.240093e-004
2.038915e+002;1.192805e-004
2.048557e+002;1.129864e-004
2.058199e+002;9.883091e-005
2.067842e+002;8.659594e-005
2.077484e+002;9.634464e-005
2.087126e+002;9.764613e-005
2.096769e+002;6.922950e-005
2.106411e+002;4.648333e-005
2.116053e+002;5.992790e-005
2.125696e+002;6.054370e-005
2.135338e+002;7.067488e-005
2.144980e+002;9.218956e-005
2.154623e+002;9.787474e-005
2.164265e+002;7.934406e-005
2.173907e+002;5.308955e-005
2.183550e+002;3.959645e-005
2.193192e+002;4.370315e-005
2.202834e+002;7.937282e-005
2.212477e+002;9.277970e-005
2.222119e+002;8.734189e-005
2.231761e+002;7.563875e-005
2.241404e+002;5.410119e-005
2.251046e+002;3.194751e-005
2.260688e+002;2.482540e-005
2.270331e+002;2.616051e-005
2.279973e+002;4.003883e-005
2.289615e+002;5.970445e-005
2.299258e+002;7.631267e-005
2.308900e+002;8.769545e-005
2.318542e+002;8.487879e-005
2.328185e+002;8.216214e-005
2.337827e+002;8.441624e-005
2.347469e+002;8.211071e-005
2.357112e+002;6.640556e-005
2.366754e+002;4.647301e-005
2.376396e+002;4.240231e-005
2.386039e+002;4.725806e-005
2.395681e+002;5.298632e-005
2.405323e+002;7.389906e-005
2.414966e+002;9.417358e-005
2.424608e+002;9.138157e-005
2.434250e+002;7.809898e-005
2.443893e+002;6.266943e-005
2.453535e+002;4.565744e-005
2.463177e+002;3.705714e-005
2.472820e+002;4.302037e-005
2.482462e+002;5.302089e-005
2.492104e+002;6.181595e-005
2.501747e+002;6.443528e-005
2.511389e+002;5.825895e-005
2.521031e+002;5.578493e-005
2.530674e+002;5.411321e-005
2.540316e+002;5.654730e-005
2.549958e+002;6.419729e-005
2.559601e+002;6.761788e-005
2.569243e+002;6.901176e-005
2.578885e+002;7.693483e-005
2.588528e+002;8.875142e-005
2.598170e+002;9.454988e-005
2.607813e+002;8.472119e-005
2.617455e+002;6.010925e-005
2.627097e+002;2.845399e-005
2.636740e+002;3.508927e-005
2.646382e+002;5.602455e-005
2.656024e+002;5.444122e-005
2.665667e+002;5.397911e-005
2.675309e+002;5.990668e-005
2.684951e+002;6.492097e-005
2.694594e+002;7.238233e-005
2.704236e+002;7.633396e-005
2.713878e+002;6.861761e-005
2.723521e+002;5.404853e-005
2.733163e+002;5.139982e-005
2.742805e+002;5.642167e-005
2.752448e+002;6.312681e-005
2.762090e+002;6.551758e-005
2.771732e+002;5.327173e-005
2.781375e+002;3.768842e-005
2.791017e+002;1.871625e-005
2.800659e+002;3.937941e-005
2.810302e+002;5.695550e-005
2.819944e+002;4.631191e-005
2.829586e+002;2.410395e-005
2.839229e+002;9.247922e-006
2.848871e+002;1.795950e-005
2.858513e+002;2.444695e-005
2.868156e+002;3.467467e-005
2.877798e+002;3.611077e-005
2.887440e+002;2.929598e-005
2.897083e+002;2.479193e-005
2.906725e+002;8.633183e-006
2.916367e+002;2.600923e-005
2.926010e+002;4.866239e-005
2.935652e+002;5.553216e-005
2.945294e+002;6.836674e-005
2.954937e+002;6.049739e-005
2.964579e+002;3.805237e-005
2.974221e+002;3.532872e-005
2.983864e+002;3.815903e-005
2.993506e+002;2.378855e-005
3.003148e+002;2.857963e-005
3.012791e+002;4.149566e-005
3.022433e+002;5.187780e-005
3.032075e+002;5.540481e-005
3.041718e+002;4.550225e-005
3.051360e+002;2.150513e-005
3.061002e+002;1.527708e-005
3.070645e+002;2.378440e-005
3.080287e+002;3.289415e-005
3.089929e+002;3.951817e-005
3.099572e+002;5.082764e-005
3.109214e+002;6.727986e-005
3.118856e+002;6.659848e-005
3.128499e+002;6.216590e-005
3.138141e+002;5.926480e-005
3.147783e+002;5.729090e-005
3.157426e+002;6.111360e-005
3.167068e+002;7.118390e-005
3.176710e+002;7.410464e-005
3.186353e+002;6.500911e-005
3.195995e+002;5.825273e-005
3.205637e+002;5.669908e-005
3.215280e+002;5.967007e-005
3.224922e+002;6.769180e-005
3.234564e+002;8.015626e-005
3.244207e+002;9.333606e-005
3.253849e+002;9.802997e-005
3.263491e+002;9.805440e-005
3.273134e+002;1.016711e-004
3.282776e+002;1.012476e-004
3.292418e+002;8.532464e-005
3.302061e+002;6.665110e-005
3.311703e+002;5.375934e-005
3.321345e+002;4.787881e-005
3.330988e+002;4.447992e-005
3.340630e+002;4.065876e-005
3.350272e+002;5.555589e-005
3.359915e+002;6.976832e-005
3.369557e+002;8.269472e-005
3.379199e+002;8.119184e-005
3.388842e+002;6.207798e-005
3.398484e+002;3.014828e-005
3.408126e+002;3.370993e-005
3.417769e+002;3.357602e-005
3.427411e+002;2.528624e-005
3.437053e+002;3.828739e-005
3.446696e+002;4.151855e-005
3.456338e+002;2.226252e-005
3.465980e+002;5.677610e-006
3.475623e+002;2.144629e-005
3.485265e+002;4.468731e-005
3.494907e+002;5.111122e-005
3.504550e+002;3.795285e-005
3.514192e+002;3.065110e-005
3.523834e+002;5.071771e-005
3.533477e+002;8.637614e-005
3.543119e+002;1.046853e-004
3.552761e+002;1.109438e-004
3.562404e+002;9.968162e-005
3.572046e+002;7.915841e-005
3.581688e+002;6.931645e-005
3.591331e+002;6.700141e-005
3.600973e+002;8.024671e-005
3.610615e+002;9.243120e-005
3.620258e+002;8.915311e-005
3.629900e+002;7.208363e-005
3.639542e+002;4.987126e-005
3.649185e+002;4.070326e-005
3.658827e+002;4.961377e-005
3.668469e+002;5.681821e-005
3.678112e+002;4.745778e-005
3.687754e+002;3.665485e-005
3.697396e+002;3.951720e-005
3.707039e+002;5.885862e-005
3.716681e+002;7.428895e-005
3.726323e+002;7.235307e-005
3.735966e+002;6.322451e-005
3.745608e+002;6.061210e-005
3.755250e+002;6.404770e-005
3.764893e+002;6.824040e-005
3.774535e+002;6.519357e-005
3.784177e+002;5.192178e-005
3.793820e+002;3.666859e-005
3.803462e+002;5.532702e-005
3.813104e+002;7.083474e-005
3.822747e+002;6.034568e-005
3.832389e+002;3.862328e-005
3.842031e+002;4.512072e-005
3.851674e+002;5.528082e-005
3.861316e+002;5.319268e-005
3.870958e+002;3.460763e-005
3.880601e+002;3.565279e-005
3.890243e+002;4.249425e-005
3.899885e+002;5.726782e-005
3.909528e+002;4.892474e-005
3.919170e+002;4.660646e-005
3.928812e+002;6.647436e-005
3.938455e+002;8.318405e-005
3.948097e+002;8.293675e-005
3.957739e+002;6.909348e-005
3.967382e+002;5.841205e-005
3.977024e+002;5.762693e-005
3.986666e+002;6.712342e-005
3.996309e+002;8.512328e-005
4.005951e+002;9.790851e-005
4.015593e+002;9.503542e-005
4.025236e+002;7.612893e-005
4.034878e+002;4.869188e-005
4.044520e+002;4.005349e-005
4.054163e+002;4.470119e-005
4.063805e+002;5.113331e-005
4.073447e+002;4.594315e-005
4.083090e+002;4.029375e-005
4.092732e+002;4.346204e-005
4.102374e+002;4.238826e-005
4.112017e+002;4.015990e-005
4.121659e+002;5.532329e-005
4.131301e+002;8.195505e-005
4.140944e+002;9.467124e-005
4.150586e+002;8.360219e-005
4.160228e+002;5.605394e-005
4.169871e+002;3.745268e-005
4.179513e+002;3.729139e-005
4.189155e+002;4.266783e-005
4.198798e+002;5.624287e-005
4.208440e+002;5.995465e-005
4.218082e+002;5.013796e-005
4.227725e+002;5.232006e-005
4.237367e+002;6.719878e-005
4.247009e+002;7.817235e-005
4.256652e+002;7.338404e-005
4.266294e+002;5.207526e-005
4.275936e+002;3.885325e-005
4.285579e+002;5.235832e-005
4.295221e+002;6.910961e-005
4.304863e+002;7.421600e-005
4.314506e+002;6.347536e-005
4.324148e+002;6.319544e-005
4.333790e+002;8.492815e-005
4.343433e+002;9.819400e-005
4.353075e+002;8.439091e-005
4.362717e+002;5.812898e-005
4.372360e+002;4.663172e-005
4.382002e+002;5.980725e-005
4.391644e+002;8.235568e-005
4.401287e+002;1.121171e-004
4.410929e+002;1.367420e-004
4.420571e+002;1.444296e-004
4.430214e+002;1.347111e-004
4.439856e+002;1.113615e-004
4.449498e+002;9.989250e-005
4.459141e+002;1.134164e-004
4.468783e+002;1.225667e-004
4.478425e+002;1.202249e-004
4.488068e+002;1.133109e-004
4.497710e+002;1.164942e-004
4.507352e+002;1.300324e-004
4.516995e+002;1.322427e-004
4.526637e+002;1.293468e-004
4.536279e+002;1.362657e-004
4.545922e+002;1.347883e-004
4.555564e+002;1.278049e-004
4.565206e+002;1.321819e-004
4.574849e+002;1.333664e-004
4.584491e+002;1.250112e-004
4.594133e+002;1.236821e-004
4.603776e+002;1.337011e-004
4.613418e+002;1.437177e-004
4.623060e+002;1.355909e-004
4.632703e+002;1.133377e-004
4.642345e+002;1.055102e-004
4.651987e+002;1.137352e-004
4.661630e+002;1.087654e-004
4.671272e+002;8.932780e-005
4.680914e+002;7.628487e-005
4.690557e+002;6.421538e-005
4.700199e+002;5.895585e-005
4.709841e+002;6.699181e-005
4.719484e+002;7.872575e-005
4.729126e+002;7.544836e-005
4.738768e+002;5.197201e-005
4.748411e+002;4.119179e-005
4.758053e+002;5.257055e-005
4.767695e+002;5.302967e-005
4.777338e+002;6.885634e-005
4.786980e+002;1.015587e-004
4.796622e+002;1.233566e-004
4.806265e+002;1.296205e-004
4.815907e+002;1.298802e-004
4.825549e+002;1.268343e-004
4.835192e+002;1.150731e-004
4.844834e+002;9.624155e-005
4.854476e+002;7.265199e-005
4.864119e+002;4.248249e-005
4.873761e+002;2.602590e-005
4.883403e+002;1.995621e-005
4.893046e+002;3.736010e-005
4.902688e+002;5.426714e-005
4.912330e+002;6.574755e-005
4.921973e+002;7.152009e-005
4.931615e+002;6.856117e-005
4.941257e+002;6.013397e-005
4.950900e+002;4.643180e-005
4.960542e+002;3.565480e-005
4.970184e+002;3.344128e-005
4.979827e+002;3.477651e-005
4.989469e+002;3.229245e-005
4.999111e+002;4.036187e-005
5.008754e+002;6.050471e-005
5.018396e+002;7.913064e-005
5.028038e+002;8.809375e-005
5.037681e+002;8.976781e-005
5.047323e+002;7.884455e-005
5.056965e+002;5.855048e-005
5.066608e+002;3.543788e-005
5.076250e+002;2.396785e-005
5.085892e+002;2.371331e-005
5.095535e+002;1.424574e-005
5.105177e+002;2.920763e-005
5.114819e+002;4.456676e-005
5.124462e+002;5.010017e-005
5.134104e+002;5.770968e-005
5.143746e+002;6.028834e-005
5.153389e+002;6.056942e-005
5.163031e+002;6.498737e-005
5.172673e+002;6.459983e-005
5.182316e+002;5.778731e-005
5.191958e+002;6.247212e-005
5.201600e+002;5.910191e-005
5.211243e+002;5.662129e-005
5.220885e+002;8.015355e-005
5.230527e+002;8.850939e-005
5.240170e+002;7.593466e-005
5.249812e+002;5.832438e-005
5.259454e+002;4.550499e-005
5.269097e+002;3.212820e-005
5.278739e+002;2.097436e-005
5.288381e+002;1.571148e-005
5.298024e+002;3.858832e-005
5.307666e+002;6.062117e-005
5.317308e+002;6.434291e-005
5.326951e+002;4.991885e-005
5.336593e+002;2.784345e-005
5.346235e+002;2.529089e-005
5.355878e+002;4.820136e-005
5.365520e+002;6.131150e-005
5.375162e+002;6.825227e-005
5.384805e+002;7.050285e-005
5.394447e+002;6.541027e-005
5.404089e+002;7.643925e-005
5.413732e+002;9.265348e-005
5.423374e+002;9.560798e-005
5.433016e+002;8.421602e-005
5.442659e+002;6.682998e-005
5.452301e+002;6.250947e-005
5.461943e+002;7.110299e-005
5.471586e+002;6.087846e-005
5.481228e+002;3.557005e-005
5.490870e+002;3.670940e-005
5.500513e+002;5.144201e-005
5.510155e+002;4.993245e-005
5.519797e+002;3.953069e-005
5.529440e+002;2.823423e-005
5.539082e+002;4.380722e-005
5.548724e+002;6.080380e-005
5.558367e+002;6.047847e-005
5.568009e+002;5.892251e-005
5.577651e+002;5.350135e-005
5.587294e+002;4.382736e-005
5.596936e+002;3.752753e-005
5.606578e+002;2.167170e-005
5.616221e+002;4.255383e-005
5.625863e+002;4.867277e-005
5.635505e+002;3.510696e-005
5.645148e+002;2.576938e-005
5.654790e+002;3.779730e-005
5.664432e+002;4.592975e-005
5.674075e+002;4.959839e-005
5.683717e+002;7.806301e-005
5.693359e+002;9.897663e-005
5.703002e+002;8.254255e-005
5.712644e+002;5.906201e-005
5.722286e+002;6.579841e-005
5.731929e+002;7.151598e-005
5.741571e+002;5.902995e-005
5.751213e+002;4.899795e-005
5.760856e+002;5.945356e-005
5.770498e+002;6.933074e-005
5.780140e+002;7.295489e-005
5.789783e+002;7.040922e-005
5.799425e+002;6.556857e-005
5.809067e+002;6.742813e-005
5.818710e+002;6.867228e-005
5.828352e+002;6.924347e-005
5.837994e+002;6.564563e-005
5.847637e+002;6.120600e-005
5.857279e+002;5.294919e-005
5.866921e+002;4.832557e-005
5.876564e+002;5.582092e-005
5.886206e+002;5.927400e-005
5.895848e+002;6.806102e-005
5.905491e+002;7.594416e-005
5.915133e+002;6.933171e-005
5.924775e+002;6.652622e-005
5.934418e+002;6.269967e-005
5.944060e+002;5.879605e-005
5.953702e+002;6.217426e-005
5.963345e+002;7.039671e-005
5.972987e+002;7.662710e-005
5.982629e+002;6.989330e-005
5.992272e+002;5.411555e-005
6.001914e+002;3.869719e-005
6.011556e+002;3.981038e-005
6.021199e+002;4.833184e-005
6.030841e+002;5.983756e-005
6.040483e+002;9.044058e-005
6.050126e+002;1.125203e-004
6.059768e+002;1.137220e-004
6.069410e+002;1.041810e-004
6.079053e+002;9.977001e-005
6.088695e+002;9.894871e-005
6.098337e+002;1.028483e-004
6.107980e+002;1.229770e-004
6.117622e+002;1.473325e-004
6.127264e+002;1.623250e-004
6.136907e+002;1.750753e-004
6.146549e+002;1.728524e-004
6.156191e+002;1.435985e-004
6.165834e+002;1.271433e-004
6.175476e+002;1.361610e-004
6.185118e+002;1.398145e-004
6.194761e+002;1.314146e-004
6.204403e+002;1.171391e-004
6.214045e+002;1.157401e-004
6.223688e+002;1.292292e-004
6.233330e+002;1.262636e-004
6.242972e+002;1.026040e-004
6.252615e+002;9.301816e-005
6.262257e+002;1.050488e-004
6.271899e+002;1.211082e-004
6.281542e+002;1.285962e-004
6.291184e+002;1.153717e-004
6.300826e+002;1.092851e-004
6.310469e+002;1.247406e-004
6.320111e+002;1.343796e-004
