x;y
1.990702e+002;9.901970e-002
2.000344e+002;9.911922e-002
2.009987e+002;9.920260e-002
2.019629e+002;9.928252e-002
2.029271e+002;9.937349e-002
2.038914e+002;9.948672e-002
2.048556e+002;9.962407e-002
2.058198e+002;9.977674e-002
2.067841e+002;9.992928e-002
2.077483e+002;1.000687e-001
2.087125e+002;1.001925e-001
2.096768e+002;1.003111e-001
2.106410e+002;1.004409e-001
2.116052e+002;1.005946e-001
2.125695e+002;1.007714e-001
2.135337e+002;1.009582e-001
2.144979e+002;1.011370e-001
2.154622e+002;1.012961e-001
2.164264e+002;1.014364e-001
2.173906e+002;1.015697e-001
2.183549e+002;1.017097e-001
2.193191e+002;1.018634e-001
2.202833e+002;1.020276e-001
2.212476e+002;1.021926e-001
2.222118e+002;1.023489e-001
2.231760e+002;1.024925e-001
2.241403e+002;1.026253e-001
2.251045e+002;1.027522e-001
2.260687e+002;1.028773e-001
2.270330e+002;1.030025e-001
2.279972e+002;1.031285e-001
2.289614e+002;1.032563e-001
2.299257e+002;1.033868e-001
2.308899e+002;1.035197e-001
2.318541e+002;1.036519e-001
2.328184e+002;1.037786e-001
2.337826e+002;1.038947e-001
2.347468e+002;1.039970e-001
2.357111e+002;1.040857e-001
2.366753e+002;1.041652e-001
2.376395e+002;1.042425e-001
2.386038e+002;1.043257e-001
2.395680e+002;1.044198e-001
2.405322e+002;1.045242e-001
2.414965e+002;1.046322e-001
2.424607e+002;1.047349e-001
2.434249e+002;1.048267e-001
2.443892e+002;1.049093e-001
2.453534e+002;1.049911e-001
2.463176e+002;1.050821e-001
2.472819e+002;1.051878e-001
2.482461e+002;1.053065e-001
2.492103e+002;1.054303e-001
2.501746e+002;1.055498e-001
2.511388e+002;1.056582e-001
2.521030e+002;1.057544e-001
2.530673e+002;1.058420e-001
2.540315e+002;1.059281e-001
2.549957e+002;1.060205e-001
2.559600e+002;1.061264e-001
2.569242e+002;1.062499e-001
2.578884e+002;1.063908e-001
2.588527e+002;1.065438e-001
2.598169e+002;1.066999e-001
2.607811e+002;1.068491e-001
2.617454e+002;1.069850e-001
2.627096e+002;1.071057e-001
2.636738e+002;1.072138e-001
2.646381e+002;1.073119e-001
2.656023e+002;1.074010e-001
2.665665e+002;1.074807e-001
2.675308e+002;1.075534e-001
2.684950e+002;1.076261e-001
2.694592e+002;1.077086e-001
2.704235e+002;1.078081e-001
2.713877e+002;1.079238e-001
2.723519e+002;1.080471e-001
2.733162e+002;1.081664e-001
2.742804e+002;1.082741e-001
2.752446e+002;1.083710e-001
2.762089e+002;1.084643e-001
2.771731e+002;1.085626e-001
2.781373e+002;1.086702e-001
2.791016e+002;1.087859e-001
2.800658e+002;1.089039e-001
2.810300e+002;1.090177e-001
2.819943e+002;1.091219e-001
2.829585e+002;1.092141e-001
2.839227e+002;1.092944e-001
2.848870e+002;1.093660e-001
2.858512e+002;1.094347e-001
2.868154e+002;1.095084e-001
2.877797e+002;1.095937e-001
2.887439e+002;1.096944e-001
2.897081e+002;1.098080e-001
2.906724e+002;1.099271e-001
2.916366e+002;1.100425e-001
2.926008e+002;1.101479e-001
2.935651e+002;1.102419e-001
2.945293e+002;1.103286e-001
2.954935e+002;1.104149e-001
2.964578e+002;1.105078e-001
2.974220e+002;1.106112e-001
2.983862e+002;1.107256e-001
2.993505e+002;1.108472e-001
3.003147e+002;1.109692e-001
3.012789e+002;1.110836e-001
3.022432e+002;1.111846e-001
3.032074e+002;1.112714e-001
3.041716e+002;1.113488e-001
3.051359e+002;1.114259e-001
3.061001e+002;1.115124e-001
3.070643e+002;1.116159e-001
3.080286e+002;1.117390e-001
3.089928e+002;1.118782e-001
3.099570e+002;1.120249e-001
3.109213e+002;1.121677e-001
3.118855e+002;1.122974e-001
3.128497e+002;1.124109e-001
3.138140e+002;1.125122e-001
3.147782e+002;1.126080e-001
3.157424e+002;1.127019e-001
3.167067e+002;1.127905e-001
3.176709e+002;1.128659e-001
3.186351e+002;1.129213e-001
3.195994e+002;1.129586e-001
3.205636e+002;1.129885e-001
3.215278e+002;1.130262e-001
3.224921e+002;1.130829e-001
3.234563e+002;1.131610e-001
3.244205e+002;1.132534e-001
3.253848e+002;1.133488e-001
3.263490e+002;1.134377e-001
3.273132e+002;1.135171e-001
3.282775e+002;1.135896e-001
3.292417e+002;1.136616e-001
3.302059e+002;1.137390e-001
3.311702e+002;1.138250e-001
3.321344e+002;1.139197e-001
3.330986e+002;1.140216e-001
3.340629e+002;1.141286e-001
3.350271e+002;1.142396e-001
3.359913e+002;1.143539e-001
3.369556e+002;1.144703e-001
3.379198e+002;1.145864e-001
3.388840e+002;1.146986e-001
3.398483e+002;1.148033e-001
3.408125e+002;1.148991e-001
3.417767e+002;1.149873e-001
3.427410e+002;1.150715e-001
3.437052e+002;1.151546e-001
3.446694e+002;1.152378e-001
3.456337e+002;1.153193e-001
3.465979e+002;1.153957e-001
3.475621e+002;1.154636e-001
3.485264e+002;1.155200e-001
3.494906e+002;1.155627e-001
3.504548e+002;1.155919e-001
3.514191e+002;1.156116e-001
3.523833e+002;1.156310e-001
3.533475e+002;1.156617e-001
3.543118e+002;1.157132e-001
3.552760e+002;1.157868e-001
3.562402e+002;1.158745e-001
3.572045e+002;1.159628e-001
3.581687e+002;1.160417e-001
3.591329e+002;1.161104e-001
3.600972e+002;1.161790e-001
3.610614e+002;1.162619e-001
3.620256e+002;1.163699e-001
3.629899e+002;1.165033e-001
3.639541e+002;1.166510e-001
3.649183e+002;1.167952e-001
3.658826e+002;1.169183e-001
3.668468e+002;1.170103e-001
3.678110e+002;1.170718e-001
3.687753e+002;1.171120e-001
3.697395e+002;1.171452e-001
3.707037e+002;1.171836e-001
3.716680e+002;1.172349e-001
3.726322e+002;1.173016e-001
3.735964e+002;1.173837e-001
3.745607e+002;1.174817e-001
3.755249e+002;1.175976e-001
3.764891e+002;1.177316e-001
3.774534e+002;1.178785e-001
3.784176e+002;1.180265e-001
3.793818e+002;1.181599e-001
3.803461e+002;1.182659e-001
3.813103e+002;1.183405e-001
3.822745e+002;1.183906e-001
3.832388e+002;1.184293e-001
3.842030e+002;1.184683e-001
3.851672e+002;1.185127e-001
3.861315e+002;1.185597e-001
3.870957e+002;1.186044e-001
3.880599e+002;1.186455e-001
3.890242e+002;1.186885e-001
3.899884e+002;1.187430e-001
3.909526e+002;1.188168e-001
3.919169e+002;1.189102e-001
3.928811e+002;1.190153e-001
3.938453e+002;1.191195e-001
3.948096e+002;1.192106e-001
3.957738e+002;1.192814e-001
3.967380e+002;1.193319e-001
3.977023e+002;1.193679e-001
3.986665e+002;1.193999e-001
3.996307e+002;1.194392e-001
4.005950e+002;1.194948e-001
4.015592e+002;1.195695e-001
4.025234e+002;1.196590e-001
4.034877e+002;1.197545e-001
4.044519e+002;1.198483e-001
4.054161e+002;1.199386e-001
4.063804e+002;1.200302e-001
4.073446e+002;1.201296e-001
4.083088e+002;1.202400e-001
4.092731e+002;1.203570e-001
4.102373e+002;1.204713e-001
4.112015e+002;1.205736e-001
4.121658e+002;1.206595e-001
4.131300e+002;1.207294e-001
4.140942e+002;1.207859e-001
4.150585e+002;1.208306e-001
4.160227e+002;1.208646e-001
4.169869e+002;1.208913e-001
4.179512e+002;1.209185e-001
4.189154e+002;1.209581e-001
4.198796e+002;1.210225e-001
