x;y
1.990702e+002;8.883739e-002
2.000344e+002;8.892236e-002
2.009987e+002;8.900104e-002
2.019629e+002;8.909096e-002
2.029271e+002;8.920616e-002
2.038914e+002;8.935140e-002
2.048556e+002;8.951998e-002
2.058198e+002;8.969714e-002
2.067841e+002;8.986589e-002
2.077483e+002;9.001303e-002
2.087125e+002;9.013276e-002
2.096768e+002;9.022745e-002
2.106410e+002;9.030542e-002
2.116052e+002;9.037763e-002
2.125695e+002;9.045309e-002
2.135337e+002;9.053580e-002
2.144979e+002;9.062324e-002
2.154622e+002;9.070817e-002
2.164264e+002;9.078203e-002
2.173906e+002;9.083946e-002
2.183549e+002;9.088017e-002
2.193191e+002;9.090905e-002
2.202833e+002;9.093331e-002
2.212476e+002;9.095965e-002
2.222118e+002;9.099251e-002
2.231760e+002;9.103391e-002
2.241403e+002;9.108423e-002
2.251045e+002;9.114231e-002
2.260687e+002;9.120538e-002
2.270330e+002;9.126919e-002
2.279972e+002;9.132951e-002
2.289614e+002;9.138489e-002
2.299257e+002;9.143738e-002
2.308899e+002;9.149227e-002
2.318541e+002;9.155445e-002
2.328184e+002;9.162636e-002
2.337826e+002;9.170699e-002
2.347468e+002;9.179361e-002
2.357111e+002;9.188346e-002
2.366753e+002;9.197456e-002
2.376395e+002;9.206372e-002
2.386038e+002;9.214631e-002
2.395680e+002;9.221655e-002
2.405322e+002;9.227021e-002
2.414965e+002;9.230645e-002
2.424607e+002;9.232911e-002
2.434249e+002;9.234539e-002
2.443892e+002;9.236415e-002
2.453534e+002;9.239367e-002
2.463176e+002;9.243948e-002
2.472819e+002;9.250191e-002
2.482461e+002;9.257562e-002
2.492103e+002;9.265083e-002
2.501746e+002;9.271737e-002
2.511388e+002;9.276844e-002
2.521030e+002;9.280327e-002
2.530673e+002;9.282652e-002
2.540315e+002;9.284580e-002
2.549957e+002;9.286930e-002
2.559600e+002;9.290376e-002
2.569242e+002;9.295283e-002
2.578884e+002;9.301537e-002
2.588527e+002;9.308515e-002
2.598169e+002;9.315303e-002
2.607811e+002;9.321102e-002
