x;y
3.991992e+002;1.043359e-001
4.001635e+002;1.074829e-001
4.011277e+002;1.098599e-001
4.020920e+002;1.095500e-001
4.030562e+002;1.089775e-001
4.040205e+002;1.090428e-001
4.049847e+002;1.094891e-001
4.059490e+002;1.090708e-001
4.069132e+002;1.086936e-001
4.078775e+002;1.086414e-001
4.088417e+002;1.093685e-001
4.098060e+002;1.111089e-001
4.107702e+002;1.124580e-001
4.117345e+002;1.133477e-001
4.126987e+002;1.154402e-001
4.136630e+002;1.178911e-001
4.146272e+002;1.185003e-001
4.155915e+002;1.188551e-001
4.165557e+002;1.191389e-001
4.175200e+002;1.219449e-001
4.184842e+002;1.255218e-001
4.194485e+002;1.245647e-001
4.204127e+002;1.261306e-001
4.213770e+002;1.269167e-001
4.223412e+002;1.255395e-001
4.233055e+002;1.243258e-001
4.242697e+002;1.250500e-001
4.252339e+002;1.263336e-001
4.261982e+002;1.298335e-001
4.271624e+002;1.331034e-001
4.281267e+002;1.335872e-001
4.290909e+002;1.319174e-001
4.300552e+002;1.317646e-001
4.310194e+002;1.331317e-001
4.319837e+002;1.343211e-001
4.329479e+002;1.358721e-001
4.339122e+002;1.378415e-001
4.348764e+002;1.394057e-001
4.358407e+002;1.396155e-001
4.368049e+002;1.404040e-001
4.377692e+002;1.414071e-001
4.387334e+002;1.411557e-001
4.396977e+002;1.403667e-001
4.406619e+002;1.409609e-001
4.416262e+002;1.419236e-001
4.425904e+002;1.426782e-001
4.435547e+002;1.442465e-001
4.445190e+002;1.435259e-001
4.454832e+002;1.426780e-001
4.464474e+002;1.426114e-001
4.474117e+002;1.421468e-001
4.483759e+002;1.416771e-001
4.493402e+002;1.429838e-001
4.503044e+002;1.440127e-001
4.512687e+002;1.432728e-001
4.522329e+002;1.430873e-001
4.531972e+002;1.436748e-001
4.541614e+002;1.434916e-001
4.551257e+002;1.432753e-001
4.560899e+002;1.431975e-001
4.570542e+002;1.427014e-001
4.580184e+002;1.435455e-001
4.589827e+002;1.433932e-001
4.599469e+002;1.427706e-001
4.609112e+002;1.424964e-001
4.618754e+002;1.416156e-001
4.628397e+002;1.411388e-001
4.638039e+002;1.401829e-001
4.647682e+002;1.396913e-001
4.657324e+002;1.395531e-001
4.666967e+002;1.401871e-001
4.676609e+002;1.402170e-001
4.686252e+002;1.393959e-001
4.695894e+002;1.374513e-001
4.705537e+002;1.360845e-001
4.715179e+002;1.346390e-001
4.724822e+002;1.336781e-001
4.734464e+002;1.335692e-001
4.744107e+002;1.324859e-001
4.753749e+002;1.324839e-001
4.763392e+002;1.326842e-001
4.773034e+002;1.311688e-001
4.782677e+002;1.296175e-001
4.792319e+002;1.280327e-001
4.801962e+002;1.267587e-001
4.811604e+002;1.254777e-001
4.821247e+002;1.241958e-001
4.830889e+002;1.237833e-001
4.840532e+002;1.224960e-001
4.850174e+002;1.204276e-001
4.859817e+002;1.193115e-001
4.869459e+002;1.184514e-001
4.879102e+002;1.173358e-001
4.888744e+002;1.167841e-001
4.898387e+002;1.161639e-001
4.908029e+002;1.150284e-001
4.917672e+002;1.142009e-001
4.927314e+002;1.141952e-001
4.936956e+002;1.135537e-001
4.946599e+002;1.125335e-001
4.956241e+002;1.122620e-001
4.965884e+002;1.129336e-001
4.975526e+002;1.127869e-001
4.985169e+002;1.118905e-001
4.994811e+002;1.117361e-001
5.004454e+002;1.117940e-001
5.014096e+002;1.125558e-001
5.023739e+002;1.135291e-001
5.033381e+002;1.132393e-001
5.043024e+002;1.133123e-001
5.052666e+002;1.134170e-001
5.062309e+002;1.136689e-001
5.071951e+002;1.148526e-001
5.081594e+002;1.151109e-001
5.091236e+002;1.154284e-001
5.100879e+002;1.167956e-001
5.110521e+002;1.179921e-001
5.120164e+002;1.193182e-001
5.129807e+002;1.200781e-001
5.139449e+002;1.208203e-001
5.149091e+002;1.224694e-001
5.158734e+002;1.233323e-001
5.168376e+002;1.242633e-001
5.178019e+002;1.257498e-001
5.187661e+002;1.258298e-001
5.197304e+002;1.259642e-001
5.206946e+002;1.268239e-001
5.216589e+002;1.269714e-001
5.226231e+002;1.270908e-001
5.235874e+002;1.270243e-001
5.245516e+002;1.270462e-001
5.255159e+002;1.269363e-001
5.264801e+002;1.274883e-001
5.274444e+002;1.275146e-001
5.284086e+002;1.274499e-001
5.293729e+002;1.273725e-001
5.303371e+002;1.271236e-001
5.313014e+002;1.271833e-001
5.322656e+002;1.271243e-001
5.332299e+002;1.267333e-001
5.341942e+002;1.262807e-001
5.351584e+002;1.260240e-001
5.361226e+002;1.261675e-001
5.370869e+002;1.263112e-001
5.380511e+002;1.256690e-001
5.390154e+002;1.253594e-001
5.399796e+002;1.251859e-001
5.409438e+002;1.244939e-001
