x;y
9.900000e+001;1.202100e+004
1.001085e+002;1.237671e+004
1.012169e+002;1.255522e+004
1.023254e+002;1.251475e+004
1.034338e+002;1.257493e+004
1.045423e+002;1.247078e+004
1.056507e+002;1.260921e+004
1.067592e+002;1.269030e+004
1.078676e+002;1.244182e+004
1.089761e+002;1.241585e+004
1.100845e+002;1.232373e+004
1.111930e+002;1.219735e+004
1.123015e+002;1.208567e+004
1.134099e+002;1.215033e+004
1.145184e+002;1.225700e+004
1.156268e+002;1.230869e+004
1.167353e+002;1.234650e+004
1.178437e+002;1.215138e+004
1.189522e+002;1.216008e+004
1.200606e+002;1.226490e+004
1.211691e+002;1.246400e+004
1.222775e+002;1.257333e+004
1.233860e+002;1.245843e+004
1.244945e+002;1.256570e+004
1.256029e+002;1.244787e+004
1.267114e+002;1.246226e+004
1.278198e+002;1.249269e+004
1.289283e+002;1.241149e+004
1.300367e+002;1.254866e+004
1.311452e+002;1.265034e+004
1.322536e+002;1.275280e+004
1.333621e+002;1.271993e+004
1.344706e+002;1.257127e+004
1.355790e+002;1.259219e+004
1.366875e+002;1.293367e+004
1.377959e+002;1.304927e+004
1.389044e+002;1.315573e+004
1.400128e+002;1.327381e+004
1.411213e+002;1.335868e+004
1.422297e+002;1.327224e+004
1.433382e+002;1.333081e+004
1.444467e+002;1.336626e+004
1.455551e+002;1.373017e+004
1.466636e+002;1.373727e+004
1.477720e+002;1.409096e+004
1.488805e+002;1.425471e+004
1.499889e+002;1.398891e+004
1.510974e+002;1.427873e+004
1.522058e+002;1.438257e+004
1.533143e+002;1.452818e+004
1.544227e+002;1.446264e+004
1.555312e+002;1.432469e+004
1.566396e+002;1.441216e+004
1.577481e+002;1.482432e+004
1.588566e+002;1.457136e+004
1.599650e+002;1.468828e+004
1.610735e+002;1.480369e+004
1.621819e+002;1.481901e+004
1.632904e+002;1.480060e+004
1.643988e+002;1.492249e+004
1.655073e+002;1.483610e+004
1.666157e+002;1.469939e+004
1.677242e+002;1.460136e+004
1.688327e+002;1.477761e+004
1.699411e+002;1.473736e+004
1.710496e+002;1.440589e+004
1.721580e+002;1.447658e+004
1.732665e+002;1.410711e+004
1.743749e+002;1.418231e+004
1.754834e+002;1.437287e+004
1.765918e+002;1.425669e+004
1.777003e+002;1.408089e+004
1.788087e+002;1.402564e+004
1.799172e+002;1.391237e+004
1.810257e+002;1.393373e+004
1.821341e+002;1.398143e+004
1.832426e+002;1.395848e+004
1.843510e+002;1.372637e+004
1.854595e+002;1.360777e+004
1.865679e+002;1.367113e+004
1.876764e+002;1.389035e+004
1.887848e+002;1.373913e+004
1.898933e+002;1.355494e+004
1.910018e+002;1.350942e+004
1.921102e+002;1.356417e+004
1.932187e+002;1.338129e+004
1.943271e+002;1.340975e+004
1.954356e+002;1.348703e+004
1.965440e+002;1.359233e+004
1.976525e+002;1.367645e+004
1.987609e+002;1.374506e+004
1.998694e+002;1.381630e+004
2.009778e+002;1.370410e+004
2.020863e+002;1.365386e+004
2.031947e+002;1.393360e+004
2.043032e+002;1.402217e+004
2.054117e+002;1.404719e+004
2.065201e+002;1.422546e+004
2.076286e+002;1.444439e+004
2.087370e+002;1.458520e+004
2.098455e+002;1.479217e+004
2.109539e+002;1.468715e+004
2.120624e+002;1.502438e+004
2.131709e+002;1.573956e+004
2.142793e+002;1.626993e+004
2.153878e+002;1.668382e+004
2.164962e+002;1.721706e+004
2.176047e+002;1.848521e+004
2.187131e+002;1.987378e+004
2.198216e+002;2.032102e+004
2.209300e+002;2.113069e+004
2.220385e+002;2.257709e+004
2.231469e+002;2.279339e+004
2.242554e+002;2.289716e+004
2.253638e+002;2.234344e+004
2.264723e+002;2.140021e+004
2.275808e+002;1.977285e+004
2.286892e+002;1.888207e+004
2.297977e+002;1.822178e+004
2.309061e+002;1.732941e+004
