x;y
3.993309e+002;7.348251e-002
4.012594e+002;7.357690e-002
4.031879e+002;7.375871e-002
4.051164e+002;7.407346e-002
4.070449e+002;7.454694e-002
4.089734e+002;7.517113e-002
4.109020e+002;7.582661e-002
4.128305e+002;7.627659e-002
4.147590e+002;7.632411e-002
4.166875e+002;7.598560e-002
4.186160e+002;7.549377e-002
4.205446e+002;7.511939e-002
4.224731e+002;7.499045e-002
4.244016e+002;7.506235e-002
4.263301e+002;7.516083e-002
4.282586e+002;7.508644e-002
4.301871e+002;7.480822e-002
4.321156e+002;7.445440e-002
4.340442e+002;7.414001e-002
4.359727e+002;7.397597e-002
4.379012e+002;7.404369e-002
4.398297e+002;7.430212e-002
4.417582e+002;7.475199e-002
4.436867e+002;7.557104e-002
4.456153e+002;7.694985e-002
4.475438e+002;7.885437e-002
4.494723e+002;8.080632e-002
4.514008e+002;8.188897e-002
4.533293e+002;8.139247e-002
4.552578e+002;7.959287e-002
4.571863e+002;7.753189e-002
4.591149e+002;7.603557e-002
4.610434e+002;7.522351e-002
4.629719e+002;7.477298e-002
4.649004e+002;7.442120e-002
4.668289e+002;7.420786e-002
4.687574e+002;7.421711e-002
4.706859e+002;7.430620e-002
4.726145e+002;7.429600e-002
4.745430e+002;7.416785e-002
4.764715e+002;7.390524e-002
4.784000e+002;7.347238e-002
4.803285e+002;7.299851e-002
4.822570e+002;7.266197e-002
4.841856e+002;7.253538e-002
4.861141e+002;7.265548e-002
4.880426e+002;7.291158e-002
4.899711e+002;7.298821e-002
4.918996e+002;7.279806e-002
4.938282e+002;7.270779e-002
4.957567e+002;7.299147e-002
4.976852e+002;7.343371e-002
4.996137e+002;7.375851e-002
5.015422e+002;7.400372e-002
5.034707e+002;7.433198e-002
5.053992e+002;7.496591e-002
5.073278e+002;7.617772e-002
5.092563e+002;7.772658e-002
5.111848e+002;7.871948e-002
5.131133e+002;7.861611e-002
5.150418e+002;7.777435e-002
5.169703e+002;7.678857e-002
5.188989e+002;7.595006e-002
5.208274e+002;7.529844e-002
5.227559e+002;7.477221e-002
5.246844e+002;7.438122e-002
5.266129e+002;7.423776e-002
5.285414e+002;7.429276e-002
5.304700e+002;7.429051e-002
5.323984e+002;7.416171e-002
5.343270e+002;7.413304e-002
5.362555e+002;7.428695e-002
5.381840e+002;7.439940e-002
5.401125e+002;7.438859e-002
5.420410e+002;7.446215e-002
5.439695e+002;7.465921e-002
5.458981e+002;7.474627e-002
5.478266e+002;7.462775e-002
5.497551e+002;7.445318e-002
5.516836e+002;7.435055e-002
5.536121e+002;7.431355e-002
5.555406e+002;7.427771e-002
5.574692e+002;7.415983e-002
5.593977e+002;7.395571e-002
5.613262e+002;7.381757e-002
5.632547e+002;7.382885e-002
5.651832e+002;7.384378e-002
5.671118e+002;7.374527e-002
5.690403e+002;7.361433e-002
5.709688e+002;7.353852e-002
5.728973e+002;7.348381e-002
5.748258e+002;7.332081e-002
5.767543e+002;7.291382e-002
5.786829e+002;7.243749e-002
5.806113e+002;7.239975e-002
5.825399e+002;7.296700e-002
5.844684e+002;7.367314e-002
5.863969e+002;7.400684e-002
5.883254e+002;7.394467e-002
5.902539e+002;7.390527e-002
5.921824e+002;7.420783e-002
5.941110e+002;7.470281e-002
5.960395e+002;7.512292e-002
5.979680e+002;7.539451e-002
5.998965e+002;7.551389e-002
6.018250e+002;7.552713e-002
6.037535e+002;7.549708e-002
6.056821e+002;7.534782e-002
6.076106e+002;7.503396e-002
6.095391e+002;7.474738e-002
6.114676e+002;7.465789e-002
6.133961e+002;7.468864e-002
6.153246e+002;7.468928e-002
6.172532e+002;7.459050e-002
6.191817e+002;7.442625e-002
6.211102e+002;7.429203e-002
6.230387e+002;7.416726e-002
6.249672e+002;7.393201e-002
6.268958e+002;7.364568e-002
6.288243e+002;7.350171e-002
6.307527e+002;7.352249e-002
6.326813e+002;7.357635e-002
6.346098e+002;7.357339e-002
6.365383e+002;7.351408e-002
6.384669e+002;7.345831e-002
6.403953e+002;7.345898e-002
6.423239e+002;7.353009e-002
6.442524e+002;7.367770e-002
6.461809e+002;7.392498e-002
6.481094e+002;7.431671e-002
6.500379e+002;7.481940e-002
6.519664e+002;7.528589e-002
6.538950e+002;7.559160e-002
6.558235e+002;7.561111e-002
6.577520e+002;7.523145e-002
6.596805e+002;7.459623e-002
6.616090e+002;7.404673e-002
6.635375e+002;7.380630e-002
6.654661e+002;7.386015e-002
6.673946e+002;7.398027e-002
6.693231e+002;7.392486e-002
6.712516e+002;7.374477e-002
6.731801e+002;7.369320e-002
6.751086e+002;7.382268e-002
6.770372e+002;7.398294e-002
6.789656e+002;7.415251e-002
6.808942e+002;7.440916e-002
6.828227e+002;7.465449e-002
6.847512e+002;7.469569e-002
6.866797e+002;7.455544e-002
