x;y
3.996307e+002;9.732683e-002
4.005950e+002;9.773324e-002
4.015592e+002;9.826066e-002
4.025234e+002;9.890036e-002
4.034877e+002;9.963065e-002
4.044519e+002;1.004160e-001
4.054161e+002;1.012081e-001
4.063804e+002;1.019492e-001
4.073446e+002;1.025773e-001
4.083088e+002;1.030330e-001
4.092731e+002;1.032686e-001
4.102373e+002;1.032559e-001
4.112015e+002;1.029922e-001
4.121658e+002;1.025024e-001
4.131300e+002;1.018346e-001
4.140942e+002;1.010526e-001
4.150585e+002;1.002244e-001
4.160227e+002;9.941292e-002
4.169869e+002;9.866832e-002
4.179512e+002;9.802262e-002
4.189154e+002;9.748808e-002
4.198796e+002;9.705758e-002
4.208439e+002;9.671047e-002
4.218081e+002;9.642166e-002
4.227723e+002;9.617108e-002
4.237366e+002;9.594963e-002
4.247008e+002;9.575786e-002
4.256650e+002;9.559858e-002
4.266293e+002;9.546947e-002
4.275935e+002;9.536076e-002
4.285577e+002;9.525909e-002
4.295220e+002;9.515461e-002
4.304862e+002;9.504666e-002
4.314504e+002;9.494279e-002
4.324147e+002;9.485434e-002
4.333789e+002;9.479055e-002
4.343431e+002;9.475560e-002
4.353074e+002;9.474665e-002
4.362716e+002;9.475428e-002
4.372358e+002;9.476405e-002
4.382001e+002;9.476073e-002
4.391643e+002;9.473447e-002
4.401285e+002;9.468694e-002
4.410928e+002;9.463185e-002
4.420570e+002;9.458961e-002
4.430212e+002;9.457691e-002
4.439855e+002;9.460059e-002
4.449497e+002;9.465832e-002
4.459139e+002;9.474678e-002
4.468782e+002;9.486871e-002
4.478424e+002;9.503198e-002
4.488066e+002;9.523998e-002
4.497709e+002;9.548132e-002
4.507351e+002;9.572635e-002
4.516993e+002;9.593815e-002
4.526636e+002;9.609089e-002
4.536278e+002;9.618555e-002
4.545920e+002;9.625162e-002
4.555563e+002;9.633335e-002
4.565205e+002;9.646771e-002
4.574847e+002;9.666683e-002
4.584490e+002;9.691328e-002
4.594132e+002;9.716900e-002
4.603774e+002;9.739043e-002
4.613417e+002;9.754227e-002
4.623059e+002;9.760435e-002
4.632701e+002;9.757215e-002
4.642344e+002;9.745309e-002
4.651986e+002;9.726082e-002
4.661628e+002;9.700966e-002
4.671271e+002;9.671061e-002
4.680913e+002;9.637211e-002
4.690555e+002;9.600528e-002
4.700198e+002;9.563023e-002
4.709840e+002;9.527892e-002
4.719482e+002;9.498966e-002
4.729125e+002;9.479441e-002
4.738767e+002;9.470516e-002
4.748409e+002;9.470806e-002
4.758052e+002;9.476925e-002
4.767694e+002;9.485043e-002
4.777336e+002;9.492511e-002
4.786979e+002;9.498702e-002
4.796621e+002;9.504901e-002
4.806263e+002;9.513475e-002
4.815906e+002;9.527163e-002
4.825548e+002;9.548807e-002
4.835190e+002;9.581643e-002
4.844833e+002;9.629485e-002
4.854475e+002;9.696479e-002
4.864117e+002;9.786119e-002
4.873760e+002;9.899668e-002
4.883402e+002;1.003440e-001
4.893044e+002;1.018209e-001
4.902687e+002;1.032870e-001
4.912329e+002;1.045571e-001
4.921971e+002;1.054356e-001
4.931614e+002;1.057618e-001
4.941256e+002;1.054559e-001
4.950898e+002;1.045448e-001
4.960541e+002;1.031602e-001
4.970183e+002;1.015050e-001
4.979825e+002;9.980243e-002
4.989468e+002;9.824343e-002
4.999110e+002;9.695002e-002
5.008752e+002;9.596482e-002
5.018395e+002;9.526374e-002
5.028037e+002;9.478416e-002
5.037679e+002;9.445272e-002
5.047322e+002;9.420390e-002
5.056964e+002;9.398598e-002
5.066606e+002;9.376083e-002
5.076249e+002;9.350335e-002
5.085891e+002;9.320457e-002
5.095533e+002;9.287754e-002
5.105176e+002;9.255797e-002
5.114818e+002;9.229666e-002
5.124460e+002;9.214288e-002
5.134103e+002;9.212713e-002
5.143745e+002;9.225404e-002
5.153387e+002;9.250900e-002
5.163030e+002;9.287654e-002
5.172672e+002;9.335957e-002
5.182314e+002;9.398984e-002
5.191957e+002;9.482050e-002
5.201599e+002;9.590402e-002
5.211241e+002;9.725802e-002
5.220884e+002;9.883352e-002
5.230526e+002;1.004970e-001
5.240168e+002;1.020400e-001
5.249811e+002;1.032192e-001
5.259453e+002;1.038200e-001
5.269095e+002;1.037213e-001
5.278738e+002;1.029357e-001
5.288380e+002;1.016080e-001
5.298022e+002;9.997091e-002
5.307665e+002;9.827697e-002
5.317307e+002;9.673203e-002
5.326949e+002;9.545594e-002
5.336592e+002;9.447846e-002
5.346234e+002;9.376381e-002
5.355876e+002;9.324710e-002
5.365519e+002;9.286417e-002
5.375161e+002;9.256788e-002
5.384803e+002;9.232980e-002
5.394446e+002;9.213363e-002
5.404088e+002;9.196679e-002
5.413730e+002;9.181526e-002
5.423373e+002;9.166448e-002
5.433015e+002;9.150481e-002
5.442657e+002;9.133987e-002
5.452300e+002;9.118947e-002
5.461942e+002;9.108427e-002
5.471584e+002;9.105219e-002
5.481227e+002;9.110489e-002
5.490869e+002;9.123301e-002
5.500511e+002;9.141380e-002
5.510154e+002;9.162544e-002
5.519796e+002;9.185799e-002
5.529438e+002;9.211437e-002
5.539081e+002;9.240165e-002
5.548723e+002;9.271905e-002
5.558365e+002;9.305228e-002
5.568008e+002;9.337476e-002
5.577650e+002;9.365591e-002
5.587292e+002;9.386989e-002
5.596935e+002;9.400254e-002
5.606577e+002;9.405499e-002
5.616219e+002;9.404387e-002
5.625862e+002;9.399889e-002
5.635504e+002;9.395805e-002
5.645146e+002;9.395991e-002
5.654789e+002;9.403536e-002
5.664431e+002;9.419827e-002
5.674073e+002;9.443869e-002
5.683716e+002;9.471965e-002
5.693358e+002;9.498210e-002
5.703000e+002;9.515727e-002
5.712643e+002;9.518661e-002
5.722285e+002;9.504154e-002
5.731927e+002;9.473519e-002
5.741570e+002;9.431835e-002
5.751212e+002;9.386165e-002
5.760854e+002;9.342986e-002
5.770497e+002;9.306223e-002
5.780139e+002;9.276488e-002
5.789781e+002;9.251800e-002
5.799424e+002;9.229065e-002
5.809066e+002;9.205824e-002
5.818708e+002;9.181610e-002
5.828351e+002;9.158754e-002
5.837993e+002;9.142369e-002
5.847635e+002;9.139325e-002
5.857278e+002;9.156257e-002
5.866920e+002;9.197374e-002
5.876563e+002;9.262991e-002
5.886205e+002;9.349701e-002
5.895847e+002;9.452167e-002
5.905490e+002;9.566075e-002
5.915132e+002;9.691096e-002
5.924774e+002;9.832877e-002
5.934417e+002;1.000322e-001
5.944059e+002;1.021789e-001
5.953701e+002;1.049181e-001
5.963344e+002;1.083203e-001
5.972986e+002;1.123057e-001
5.982628e+002;1.165981e-001
5.992271e+002;1.207354e-001
6.001913e+002;1.241513e-001
6.011555e+002;1.263094e-001
6.021198e+002;1.268503e-001
6.030840e+002;1.256927e-001
6.040482e+002;1.230516e-001
6.050125e+002;1.193667e-001
6.059767e+002;1.151715e-001
6.069409e+002;1.109584e-001
6.079052e+002;1.070846e-001
6.088694e+002;1.037411e-001
6.098336e+002;1.009771e-001
6.107979e+002;9.875288e-002
6.117621e+002;9.699275e-002
6.127263e+002;9.561948e-002
6.136906e+002;9.456661e-002
6.146548e+002;9.377630e-002
6.156190e+002;9.319380e-002
6.165833e+002;9.276606e-002
6.175475e+002;9.244566e-002
6.185117e+002;9.219625e-002
6.194760e+002;9.199432e-002
6.204402e+002;9.182635e-002
6.214044e+002;9.168340e-002
6.223687e+002;9.155797e-002
6.233329e+002;9.144364e-002
6.242971e+002;9.133776e-002
6.252614e+002;9.124228e-002
6.262256e+002;9.116140e-002
6.271898e+002;9.109837e-002
6.281541e+002;9.105374e-002
6.291183e+002;9.102814e-002
6.300825e+002;9.102795e-002
6.310468e+002;9.106810e-002
6.320110e+002;9.117014e-002
6.329752e+002;9.135605e-002
6.339395e+002;9.164179e-002
6.349037e+002;9.203698e-002
6.358679e+002;9.255031e-002
6.368322e+002;9.319887e-002
6.377964e+002;9.401630e-002
6.387606e+002;9.505151e-002
6.397249e+002;9.635323e-002
6.406891e+002;9.793821e-002
6.416533e+002;9.975208e-002
6.426176e+002;1.016409e-001
6.435818e+002;1.033572e-001
6.445460e+002;1.046111e-001
6.455103e+002;1.051555e-001
6.464745e+002;1.048690e-001
6.474387e+002;1.038000e-001
6.484030e+002;1.021479e-001
6.493672e+002;1.001927e-001
6.503314e+002;9.820814e-002
6.512957e+002;9.639336e-002
6.522599e+002;9.484822e-002
6.532241e+002;9.358755e-002
6.541884e+002;9.257769e-002
6.551526e+002;9.177289e-002
6.561168e+002;9.114077e-002
6.570811e+002;9.067060e-002
6.580453e+002;9.036787e-002
6.590095e+002;9.024010e-002
6.599738e+002;9.028012e-002
6.609380e+002;9.045525e-002
6.619022e+002;9.070680e-002
6.628665e+002;9.096175e-002
6.638307e+002;9.115182e-002
6.647949e+002;9.123171e-002
6.657592e+002;9.118935e-002
6.667234e+002;9.104434e-002
6.676876e+002;9.083669e-002
6.686519e+002;9.061156e-002
6.696161e+002;9.040423e-002
6.705803e+002;9.023247e-002
6.715446e+002;9.009577e-002
6.725088e+002;8.998215e-002
6.734730e+002;8.987673e-002
6.744373e+002;8.976890e-002
6.754015e+002;8.965503e-002
6.763657e+002;8.953715e-002
6.773300e+002;8.942074e-002
6.782942e+002;8.931141e-002
6.792584e+002;8.921379e-002
6.802227e+002;8.913029e-002
6.811869e+002;8.906149e-002
6.821511e+002;8.900689e-002
6.831154e+002;8.896664e-002
6.840796e+002;8.894294e-002
6.850438e+002;8.893966e-002
6.860081e+002;8.896060e-002
6.869723e+002;8.900753e-002
6.879365e+002;8.907962e-002
6.889008e+002;8.917537e-002
6.898650e+002;8.929466e-002
6.908292e+002;8.943921e-002
6.917935e+002;8.960877e-002
6.927577e+002;8.979391e-002
6.937219e+002;8.996890e-002
6.946862e+002;9.009092e-002
6.956504e+002;9.010947e-002
6.966146e+002;8.998507e-002
6.975789e+002;8.970834e-002
6.985431e+002;8.930807e-002
6.995073e+002;8.884294e-002
7.004716e+002;8.837941e-002
7.014358e+002;8.796828e-002
7.024000e+002;8.763273e-002
7.033643e+002;8.737171e-002
7.043285e+002;8.717327e-002
7.052927e+002;8.702599e-002
7.062570e+002;8.692233e-002
7.072212e+002;8.685555e-002
7.081854e+002;8.681594e-002
7.091497e+002;8.679144e-002
7.101139e+002;8.677194e-002
7.110781e+002;8.675262e-002
7.120424e+002;8.673461e-002
7.130066e+002;8.672203e-002
7.139708e+002;8.671931e-002
7.149351e+002;8.672944e-002
7.158993e+002;8.675283e-002
7.168635e+002;8.678587e-002
7.178278e+002;8.682074e-002
7.187920e+002;8.684994e-002
7.197562e+002;8.687469e-002
7.207205e+002;8.691376e-002
7.216847e+002;8.700584e-002
7.226489e+002;8.720033e-002
7.236132e+002;8.753838e-002
7.245774e+002;8.803158e-002
7.255416e+002;8.864663e-002
7.265059e+002;8.930536e-002
7.274701e+002;8.990055e-002
7.284343e+002;9.032425e-002
7.293986e+002;9.049747e-002
7.303628e+002;9.039231e-002
7.313270e+002;9.003575e-002
7.322913e+002;8.949544e-002
7.332555e+002;8.885545e-002
7.342197e+002;8.819161e-002
7.351840e+002;8.755844e-002
7.361482e+002;8.698711e-002
7.371124e+002;8.649124e-002
7.380767e+002;8.607306e-002
7.390409e+002;8.572648e-002
7.400051e+002;8.543831e-002
7.409694e+002;8.519125e-002
7.419336e+002;8.496986e-002
7.428978e+002;8.476698e-002
7.438621e+002;8.458634e-002
7.448263e+002;8.443856e-002
7.457905e+002;8.433397e-002
7.467548e+002;8.427529e-002
7.477190e+002;8.425544e-002
7.486832e+002;8.426024e-002
7.496475e+002;8.427358e-002
7.506117e+002;8.428240e-002
7.515759e+002;8.427928e-002
7.525402e+002;8.426306e-002
7.535044e+002;8.423743e-002
7.544686e+002;8.420800e-002
7.554329e+002;8.417787e-002
7.563971e+002;8.414483e-002
7.573613e+002;8.410152e-002
7.583256e+002;8.403943e-002
7.592898e+002;8.395445e-002
7.602540e+002;8.385026e-002
7.612183e+002;8.373858e-002
7.621825e+002;8.363567e-002
7.631467e+002;8.355686e-002
7.641110e+002;8.351191e-002
7.650752e+002;8.350158e-002
7.660394e+002;8.351723e-002
7.670037e+002;8.354374e-002
7.679679e+002;8.356500e-002
7.689321e+002;8.356994e-002
7.698964e+002;8.355603e-002
7.708606e+002;8.352816e-002
7.718248e+002;8.349480e-002
7.727891e+002;8.346345e-002
7.737533e+002;8.343911e-002
7.747175e+002;8.342488e-002
7.756818e+002;8.342346e-002
7.766460e+002;8.343722e-002
7.776102e+002;8.346735e-002
7.785745e+002;8.351292e-002
7.795387e+002;8.357276e-002
7.805029e+002;8.365078e-002
