x;y
3.991992e+002;3.538418e-001
4.001635e+002;3.666455e-001
4.011277e+002;3.765521e-001
4.020920e+002;3.786420e-001
4.030562e+002;3.819550e-001
4.040205e+002;3.762772e-001
4.049847e+002;3.669145e-001
4.059490e+002;3.568904e-001
4.069132e+002;3.492696e-001
4.078775e+002;3.452018e-001
4.088417e+002;3.457910e-001
4.098060e+002;3.451973e-001
4.107702e+002;3.455942e-001
4.117345e+002;3.453860e-001
4.126987e+002;3.415706e-001
4.136630e+002;3.261310e-001
4.146272e+002;3.092267e-001
4.155915e+002;2.948129e-001
4.165557e+002;2.863575e-001
4.175200e+002;2.801228e-001
4.184842e+002;2.750101e-001
4.194485e+002;2.742824e-001
4.204127e+002;2.770666e-001
4.213770e+002;2.772922e-001
4.223412e+002;2.786314e-001
4.233055e+002;2.804612e-001
4.242697e+002;2.826271e-001
4.252339e+002;2.822471e-001
4.261982e+002;2.841307e-001
4.271624e+002;2.869322e-001
4.281267e+002;2.905122e-001
4.290909e+002;2.931276e-001
4.300552e+002;2.954914e-001
4.310194e+002;2.961075e-001
4.319837e+002;2.974304e-001
4.329479e+002;2.997027e-001
4.339122e+002;3.045744e-001
4.348764e+002;3.098212e-001
4.358407e+002;3.143451e-001
4.368049e+002;3.176434e-001
4.377692e+002;3.224400e-001
4.387334e+002;3.266082e-001
4.396977e+002;3.327535e-001
4.406619e+002;3.391062e-001
4.416262e+002;3.470910e-001
4.425904e+002;3.547434e-001
4.435547e+002;3.617680e-001
4.445190e+002;3.639749e-001
4.454832e+002;3.559982e-001
4.464474e+002;3.347466e-001
4.474117e+002;3.093988e-001
4.483759e+002;2.854308e-001
4.493402e+002;2.695858e-001
4.503044e+002;2.650217e-001
4.512687e+002;2.689666e-001
4.522329e+002;2.738765e-001
4.531972e+002;2.818099e-001
4.541614e+002;2.886232e-001
4.551257e+002;2.963512e-001
4.560899e+002;3.043831e-001
4.570542e+002;3.122158e-001
4.580184e+002;3.169700e-001
4.589827e+002;3.205640e-001
