x;y
5.219803e+001;2.361993e-001
5.412655e+001;2.188723e-001
5.605507e+001;1.857618e-001
5.798358e+001;1.496474e-001
5.991209e+001;1.217553e-001
6.184061e+001;1.143567e-001
6.376913e+001;1.271327e-001
6.569764e+001;1.407719e-001
6.762616e+001;1.357353e-001
6.955467e+001;1.129696e-001
7.148319e+001;8.853149e-002
7.341171e+001;7.370117e-002
7.534023e+001;6.917048e-002
7.726874e+001;7.315774e-002
7.919725e+001;8.504897e-002
8.112577e+001;1.002600e-001
8.305428e+001;1.082975e-001
8.498280e+001;1.016434e-001
8.691132e+001;8.440720e-002
8.883984e+001;6.785563e-002
9.076835e+001;6.007546e-002
9.269686e+001;6.289718e-002
9.462538e+001;7.424875e-002
9.655389e+001;8.854458e-002
9.848241e+001;9.750952e-002
1.004109e+002;9.607323e-002
1.023394e+002;8.706157e-002
1.042680e+002;7.748448e-002
1.061965e+002;7.195307e-002
1.081250e+002;7.121346e-002
1.100535e+002;7.435241e-002
1.119820e+002;8.015832e-002
1.139105e+002;8.680315e-002
1.158391e+002;9.105714e-002
1.177676e+002;8.908425e-002
1.196961e+002;7.948396e-002
1.216246e+002;6.506239e-002
1.235531e+002;5.047853e-002
1.254816e+002;3.880236e-002
1.274101e+002;3.073689e-002
1.293387e+002;2.567482e-002
1.312672e+002;2.255325e-002
1.331957e+002;2.040108e-002
1.351242e+002;1.874204e-002
1.370527e+002;1.748123e-002
1.389812e+002;1.647752e-002
1.409098e+002;1.543373e-002
1.428383e+002;1.417213e-002
1.447668e+002;1.280974e-002
1.466953e+002;1.158110e-002
1.486238e+002;1.060574e-002
1.505523e+002;9.895250e-003
1.524809e+002;9.451658e-003
1.544094e+002;9.249289e-003
1.563379e+002;9.192375e-003
1.582664e+002;9.175142e-003
1.601949e+002;9.174326e-003
1.621234e+002;9.250765e-003
1.640519e+002;9.451960e-003
1.659805e+002;9.756433e-003
1.679090e+002;1.017381e-002
1.698375e+002;1.081038e-002
1.717660e+002;1.169955e-002
1.736945e+002;1.261359e-002
1.756230e+002;1.315432e-002
1.775516e+002;1.310057e-002
1.794801e+002;1.266136e-002
1.814086e+002;1.228893e-002
1.833371e+002;1.222786e-002
1.852656e+002;1.232286e-002
1.871941e+002;1.226545e-002
1.891227e+002;1.198250e-002
1.910512e+002;1.176582e-002
1.929797e+002;1.205765e-002
1.949082e+002;1.326424e-002
1.968367e+002;1.575209e-002
1.987652e+002;1.956582e-002
2.006937e+002;2.378293e-002
2.026223e+002;2.653785e-002
2.045508e+002;2.637326e-002
2.064793e+002;2.357546e-002
2.084078e+002;1.980557e-002
2.103363e+002;1.656973e-002
2.122648e+002;1.436530e-002
2.141934e+002;1.297343e-002
2.161219e+002;1.198483e-002
2.180504e+002;1.106288e-002
2.199789e+002;1.006932e-002
2.219074e+002;9.051307e-003
2.238359e+002;8.126331e-003
2.257645e+002;7.388255e-003
2.276930e+002;6.832900e-003
2.296215e+002;6.366332e-003
2.315500e+002;5.922874e-003
2.334785e+002;5.529501e-003
2.354070e+002;5.232193e-003
2.373355e+002;5.000668e-003
2.392641e+002;4.757874e-003
2.411926e+002;4.504790e-003
2.431211e+002;4.330507e-003
2.450496e+002;4.268600e-003
2.469781e+002;4.249648e-003
2.489066e+002;4.228760e-003
2.508352e+002;4.254990e-003
2.527637e+002;4.387797e-003
2.546922e+002;4.625231e-003
2.566207e+002;4.905632e-003
2.585492e+002;5.106957e-003
2.604778e+002;5.128012e-003
2.624063e+002;5.030872e-003
2.643348e+002;4.995430e-003
2.662633e+002;5.172070e-003
2.681918e+002;5.696943e-003
2.701203e+002;6.704558e-003
2.720488e+002;8.089406e-003
2.739774e+002;9.279979e-003
2.759059e+002;9.567417e-003
2.778344e+002;8.824811e-003
2.797629e+002;7.650898e-003
2.816914e+002;6.729907e-003
2.836199e+002;6.354476e-003
2.855484e+002;6.559325e-003
2.874770e+002;7.372796e-003
2.894055e+002;8.878082e-003
2.913340e+002;1.111704e-002
2.932625e+002;1.384053e-002
2.951910e+002;1.642140e-002
2.971195e+002;1.814916e-002
2.990481e+002;1.852302e-002
3.009766e+002;1.744711e-002
3.029051e+002;1.544687e-002
3.048336e+002;1.343577e-002
3.067621e+002;1.202404e-002
3.086906e+002;1.120453e-002
3.106191e+002;1.063964e-002
3.125477e+002;1.002161e-002
3.144762e+002;9.247610e-003
3.164047e+002;8.447092e-003
3.183332e+002;7.821182e-003
3.202617e+002;7.431905e-003
3.221902e+002;7.207790e-003
3.241187e+002;7.093447e-003
3.260473e+002;7.076766e-003
3.279758e+002;7.119720e-003
3.299043e+002;7.178200e-003
3.318328e+002;7.267688e-003
3.337614e+002;7.458778e-003
3.356898e+002;7.829754e-003
3.376184e+002;8.468401e-003
3.395469e+002;9.454094e-003
3.414754e+002;1.071638e-002
3.434039e+002;1.193571e-002
3.453324e+002;1.268964e-002
3.472610e+002;1.271738e-002
3.491895e+002;1.205739e-002
3.511180e+002;1.102199e-002
3.530465e+002;1.005079e-002
3.549750e+002;9.476570e-003
3.569035e+002;9.313334e-003
3.588320e+002;9.246260e-003
3.607606e+002;8.913034e-003
3.626891e+002;8.227811e-003
3.646176e+002;7.408176e-003
3.665461e+002;6.769613e-003
3.684746e+002;6.514486e-003
3.704031e+002;6.597875e-003
3.723317e+002;6.757265e-003
3.742602e+002;6.740247e-003
3.761887e+002;6.531315e-003
3.781172e+002;6.298346e-003
3.800457e+002;6.132475e-003
3.819742e+002;5.946890e-003
3.839027e+002;5.620109e-003
3.858313e+002;5.157700e-003
3.877598e+002;4.687467e-003
3.896883e+002;4.321720e-003
3.916168e+002;4.091483e-003
3.935453e+002;3.991901e-003
3.954738e+002;4.003119e-003
3.974024e+002;4.093244e-003
3.993309e+002;4.259759e-003
4.012594e+002;4.584190e-003
4.031879e+002;5.227696e-003
4.051164e+002;6.262355e-003
4.070450e+002;7.440130e-003
4.089734e+002;8.246809e-003
4.109020e+002;8.299513e-003
4.128305e+002;7.668206e-003
4.147590e+002;6.764158e-003
4.166875e+002;5.998631e-003
4.186160e+002;5.574163e-003
4.205446e+002;5.435154e-003
4.224731e+002;5.345842e-003
4.244016e+002;5.108770e-003
4.263301e+002;4.734316e-003
4.282586e+002;4.372232e-003
4.301871e+002;4.123075e-003
4.321156e+002;3.987867e-003
4.340442e+002;3.958835e-003
4.359727e+002;4.088543e-003
4.379012e+002;4.525259e-003
4.398297e+002;5.497688e-003
4.417582e+002;7.073054e-003
4.436867e+002;8.787548e-003
4.456153e+002;9.795940e-003
4.475438e+002;9.630550e-003
4.494723e+002;8.581398e-003
4.514008e+002;7.255334e-003
4.533293e+002;6.065168e-003
4.552578e+002;5.161074e-003
4.571863e+002;4.558756e-003
4.591149e+002;4.223521e-003
4.610434e+002;4.096451e-003
4.629719e+002;4.102601e-003
4.649004e+002;4.182250e-003
4.668289e+002;4.324690e-003
4.687574e+002;4.538313e-003
4.706860e+002;4.801380e-003
4.726145e+002;5.040679e-003
4.745430e+002;5.139009e-003
4.764715e+002;5.022333e-003
4.784000e+002;4.765207e-003
4.803286e+002;4.551218e-003
4.822570e+002;4.525539e-003
4.841856e+002;4.711376e-003
4.861141e+002;5.000791e-003
4.880426e+002;5.202799e-003
4.899711e+002;5.230191e-003
4.918996e+002;5.263387e-003
4.938282e+002;5.639890e-003
4.957567e+002;6.706716e-003
4.976852e+002;8.828277e-003
4.996137e+002;1.192277e-002
5.015422e+002;1.464098e-002
5.034707e+002;1.504234e-002
5.053992e+002;1.274396e-002
5.073278e+002;9.408881e-003
5.092563e+002;6.823267e-003
5.111848e+002;5.505553e-003
5.131133e+002;5.179922e-003
5.150418e+002;5.749176e-003
5.169703e+002;7.458585e-003
5.188989e+002;9.923159e-003
5.208274e+002;1.153216e-002
5.227559e+002;1.097996e-002
5.246844e+002;8.938681e-003
5.266129e+002;7.177786e-003
5.285414e+002;6.732606e-003
5.304700e+002;7.474842e-003
5.323984e+002;8.546088e-003
5.343270e+002;8.898709e-003
5.362555e+002;8.085012e-003
5.381840e+002;6.615759e-003
5.401125e+002;5.296342e-003
5.420410e+002;4.488490e-003
5.439695e+002;4.109766e-003
5.458981e+002;3.942556e-003
5.478266e+002;3.830985e-003
5.497551e+002;3.734683e-003
5.516836e+002;3.658401e-003
5.536121e+002;3.610913e-003
5.555406e+002;3.614926e-003
5.574692e+002;3.664692e-003
5.593977e+002;3.699001e-003
5.613262e+002;3.692181e-003
5.632547e+002;3.704973e-003
5.651832e+002;3.805969e-003
5.671118e+002;4.044491e-003
5.690403e+002;4.481672e-003
5.709688e+002;5.134751e-003
5.728973e+002;5.863325e-003
5.748258e+002;6.342480e-003
5.767543e+002;6.302976e-003
5.786829e+002;5.828868e-003
5.806114e+002;5.276298e-003
5.825399e+002;4.929779e-003
5.844684e+002;4.856077e-003
5.863969e+002;5.018452e-003
5.883254e+002;5.434750e-003
5.902540e+002;6.292759e-003
5.921824e+002;7.844907e-003
5.941110e+002;9.974968e-003
5.960395e+002;1.196337e-002
5.979680e+002;1.301225e-002
5.998965e+002;1.299211e-002
6.018250e+002;1.244328e-002
6.037535e+002;1.198385e-002
6.056821e+002;1.189844e-002
6.076106e+002;1.207544e-002
6.095391e+002;1.208399e-002
6.114676e+002;1.143786e-002
6.133961e+002;1.004082e-002
6.153246e+002;8.340403e-003
6.172532e+002;6.958605e-003
6.191817e+002;6.274525e-003
6.211102e+002;6.298798e-003
6.230387e+002;6.750565e-003
6.249672e+002;7.225707e-003
6.268958e+002;7.356619e-003
6.288243e+002;6.965917e-003
6.307527e+002;6.202548e-003
6.326813e+002;5.425227e-003
6.346098e+002;4.865745e-003
6.365383e+002;4.508734e-003
6.384669e+002;4.279396e-003
6.403953e+002;4.155207e-003
6.423239e+002;4.095138e-003
6.442524e+002;4.037405e-003
6.461809e+002;3.967641e-003
6.481094e+002;3.904189e-003
6.500379e+002;3.870943e-003
6.519664e+002;3.879634e-003
6.538950e+002;3.896109e-003
6.558235e+002;3.902785e-003
6.577520e+002;3.929002e-003
6.596805e+002;3.973157e-003
6.616090e+002;4.029897e-003
6.635375e+002;4.172678e-003
6.654661e+002;4.532619e-003
6.673946e+002;5.366359e-003
6.693231e+002;7.181401e-003
6.712516e+002;1.018484e-002
6.731801e+002;1.319013e-002
6.751086e+002;1.413473e-002
6.770372e+002;1.246830e-002
6.789656e+002;9.802493e-003
6.808942e+002;7.769632e-003
6.828227e+002;6.620668e-003
6.847512e+002;5.919224e-003
6.866797e+002;5.386290e-003
6.886082e+002;4.967270e-003
6.905367e+002;4.655782e-003
6.924653e+002;4.416560e-003
6.943938e+002;4.222774e-003
6.963223e+002;4.069247e-003
6.982508e+002;3.937358e-003
7.001793e+002;3.826275e-003
7.021078e+002;3.761823e-003
7.040364e+002;3.727262e-003
7.059649e+002;3.688897e-003
7.078934e+002;3.675862e-003
7.098219e+002;3.720128e-003
7.117504e+002;3.776204e-003
7.136790e+002;3.800147e-003
7.156075e+002;3.816516e-003
7.175360e+002;3.846801e-003
7.194645e+002;3.880642e-003
7.213930e+002;3.924826e-003
7.233215e+002;4.000331e-003
7.252501e+002;4.141562e-003
7.271786e+002;4.422304e-003
7.291071e+002;4.935256e-003
7.310356e+002;5.796186e-003
7.329641e+002;7.255781e-003
7.348926e+002;9.912563e-003
7.368212e+002;1.498635e-002
7.387496e+002;2.382229e-002
7.406782e+002;3.524595e-002
7.426067e+002;4.351117e-002
7.445352e+002;4.261791e-002
7.464637e+002;3.330968e-002
7.483922e+002;2.214250e-002
7.503207e+002;1.429387e-002
7.522493e+002;1.046878e-002
7.541778e+002;9.005039e-003
7.561063e+002;8.152498e-003
7.580348e+002;7.087929e-003
7.599633e+002;5.962150e-003
7.618918e+002;5.153099e-003
7.638204e+002;4.738491e-003
7.657489e+002;4.608884e-003
7.676774e+002;4.641816e-003
7.696059e+002;4.745978e-003
7.715344e+002;4.909314e-003
7.734630e+002;5.177537e-003
7.753915e+002;5.555732e-003
7.773199e+002;6.020881e-003
7.792485e+002;6.729204e-003
7.811770e+002;8.196505e-003
7.831055e+002;1.104312e-002
7.850341e+002;1.504327e-002
7.869625e+002;1.838099e-002
7.888911e+002;1.880761e-002
7.908196e+002;1.598637e-002
